"","Candidate","Constituency..","Party","Criminal.Case","Education","Total.Assets","Liabilities"
"953","DR.SANJEEV GANESH NAIK","Thane","NCP",2,"12th Pass",30415344,0
"955","PALANIMANICKAM.S.S","Thanjavur","DMK",0,"Graduate Professional",7523592,2841136
"957","AARON RASHID.J.M","Theni","INC",0,"12th Pass",248974573,2191815
"959","Shashi Tharoor","Thiruvananthapuram","INC",1,"Doctorate",212442472,0
"961","JEYADURAI S R","Thoothukkudi","DMK",0,"Graduate",87526313,1090000
"963","P C Chacko","Thrissur","INC",0,"Post Graduate",16335679,0
"965","VIRENDRA KUMAR","Tikamgarh","BJP",0,"Doctorate",2551466,0
"967","KUMAR.P","Tiruchirappalli","ADMK",0,"Graduate Professional",5345000,806395
"969","RAMASUBBU S","Tirunelveli","INC",0,"Post Graduate",34706447,1807386
"971","Chinta Mohan","Tirupati","INC",0,"Graduate Professional",5512900,557719
"973","SIVASAMI C","Tiruppur","ADMK",3,"Post Graduate",51892954,0
"975","VENUGOPAL.P","Tiruvallur","ADMK",0,"Graduate Professional",2074236,350000
"977","VENUGOPAL.D","Tiruvannamalai","DMK",0,"Others",57010000,1538546
"979","BAJU BAN RIYAN","Tripura East","CPM",0,"Graduate",3695981,0
"981","KHAGEN DAS","Tripura West","CPM",0,"Post Graduate",3492580,0
"983","G.S. BASAVARAJU","Tumkur","BJP",0,"Graduate Professional",54382029,8761621
"985","AGATHA K. SANGMA","Tura","NCP",0,"Post Graduate",6644295,0
"987","Raghuveer singh","Udaipur","INC",0,"Graduate",6753883,1750000
"989","CH. LAL SINGH","Udhampur","INC",0,"Graduate",1762378,2650000
"991","D.V.Sadananda Gowda","Udupi Chikmagalur","BJP",0,"Graduate Professional",14375959,2486447
"993","ASWAMEDH DEVI","Ujiarpur","JD(U)",0,"5th Pass",10536274,341141
"995","GUDDU PREMCHAND","Ujjain","INC",3,"5th Pass",105031313,1500000
"997","SULTAN AHMED","Uluberia","AITC",0,"Graduate",6026230,3600555
"999","ANNUTANDON","Unnao","INC",1,"Graduate",421352753,0
"1001","Ananthkumar Hegde","Uttara Kannada","BJP",3,"12th Pass",6427192,3955458
"1003","Mullappally Ramachandran","Vadakara","INC",0,"Post Graduate",3316300,502346
"1005","BALKRISHNA KHANDERAO SHUKLA","Vadodara","BJP",1,"Graduate",2662058,216512
"1007","RAGHUVANSH PRASAD SINGH","Vaishali","RJD",0,"Doctorate",6169238,214137
"1009","BAIDYANATH PRASAD MAHTO","Valmiki Nagar","JD(U)",1,"10th Pass",4428802,520445
"1011","KISANBHAI VESTABHAI PATEL","Valsad","INC",2,"12th Pass",1520245,0
"1013","DR. MURLI MANOHAR JOSHI","Varanasi","BJP",1,"Doctorate",54475345,0
"1015","ABDUL RAHMAN","Vellore","DMK",0,"Graduate",12547128,3297328
"1017","SUSHMA SWARAJ","Vidisha","BJP",0,"Graduate Professional",73582637,58250
"1019","L Rajagopal","Vijayawada","INC",0,"Graduate Professional",1222964909,23967984
"1021","ANANDAN M","Viluppuram","ADMK",0,"12th Pass",8938646,967994
"1023","MANICKA TAGORE","Virudhunagar","INC",0,"Graduate Professional",3313910,0
"1025","D. PURANDARESHWARI","Visakhapatnam","INC",0,"Graduate",202639034,560000
"1027","B. JHANSI","Vizianagaram","INC",1,"Post Graduate",22951539,0
"1029","Rajaiah Siricilla","Warangal","INC",0,"Graduate",4224704,1461167
"1031","DATTA MEGHE","Wardha","INC",0,"Graduate",287739495,70008871
"1033","M I Shanavas","Wayanad","INC",0,"Post Graduate",23904424,2548978
"1035","MAHABAL MISHRA","West Delhi","INC",0,"12th Pass",61994338,989118
"1037","BHAVANA GAWALI (PATIL)","Yavatmal-Washim","SHS",1,"Graduate",30399471,2430911
"1039","SURESH KUMAR SHETKAR","Zahirabad","INC",0,"Graduate",3011999,0
