"","Candidate","Constituency..","Party","Criminal.Case","Education","Total.Assets","Liabilities"
"509","ADHIKARI SISIR KUMAR","Kanthi","AITC",1,"12th Pass",1083159,0
"511","Mahabali Singh","Karakat","JD(U)",3,"8th Pass",6194257,0
"513","KHILADI LAL BAIRWA","Karauli-Dholpur","INC",0,"Graduate",62802340,5693479
"515","Lalit Mohan Suklabaidya","Karimganj","INC",0,"Post Graduate",4644049,0
"517","Ponnam Prabhakar","Karimnagar","INC",0,"Graduate Professional",1287000,0
"519","ARVIND KUMAR SHARMA","Karnal","INC",0,"Post Graduate",19071256,0
"521","TAMBIDURAI.M","Karur","ADMK",2,"Doctorate",93750227,0
"523","P.Karunakaran","Kasaragod","CPM",12,"Post Graduate",17823645,0
"525","NIKHIL KUMAR CHOUDHARY","Katihar","BJP",4,"Graduate",8018754,802308
"527","SHAILENDRA KUMAR","Kaushambi","SP",0,"Graduate",20800327,0
"529","Baijayant Panda","Kendrapara","BJD",0,"Graduate Professional",161100792,451767
"531","Yashbanta Narayan Singh Laguri","Keonjhar","BJD",6,"Graduate",575000,1.5e+07
"533","DR. RATTAN SINGH AJNALA","Khadoor Sahib","SAD",1,"Graduate Professional",18774102,0
"535","DINESH CHANDRA YADAV","Khagaria","JD(U)",0,"Others",6305253,15922
"537","JEETENDRA SINGH","Khajuraho","BJP",0,"Post Graduate",10596506,0
"539","Nama Nageswara Rao","Khammam","TDP",0,"12th Pass",1737508117,0
"541","ARUN SUBHASHCHANDRA YADAV","Khandwa","INC",1,"Graduate",53289688,27562966
"543","MAKNSINGH SOLANKI (BABUJI)","Khargone","BJP",0,"5th Pass",5838265,204826
"545","DINSHA ZAVARBHAI PATEL","Kheda","INC",0,"10th Pass",23065019,3480352
"547","ZAFAR ALI NAQVI","Kheri","INC",0,"Graduate Professional",3979881,0
"549","KARIYA MUNDA","Khunti","BJP",0,"Post Graduate",5989638,133125
"551","MOHAMMAD ASRARUL HAQUE","Kishanganj","INC",0,"Post Graduate",3646860,0
"553","Babu Lal Marandi","Kodarma","JVM(P)",1,"Graduate",2137675,0
"555","SANSUMA KHUNGGUR BWISWMUTHIARY","Kokrajhar","BPF",0,"Graduate",4954903,464860
"557","K.H.Muniyappa","Kolar","INC",0,"Graduate Professional",51921402,21019510
"559","SADASHIVRAO MANDLIK DADOBA","Kolhapur","IND",0,"Graduate",11552012,0
"561","MAMATA BANERJEE","Kolkata Dakshin","AITC",0,"Post Graduate",473194,0
"563","SUDIP BANDYOPADHYAY","Kolkata Uttar","AITC",0,"Graduate",4187479,196283
"565","N Peethambarakurup","Kollam","INC",2,"Graduate",2810132,0
"567","Shivaramgouda","Koppal","BJP",0,"Graduate Professional",14518988,3078847
"569","Jayaram Pangi","Koraput","BJD",0,"10th Pass",6182372,0
"571","Charandas Mahant","Korba","INC",0,"Doctorate",42704354,1643424
"573","IJYARAJ SINGH","Kota","INC",0,"Post Graduate",180131144,0
"575","Jose K Mani","Kottayam","KEC(M)",0,"Post Graduate",9651729,0
"577","M K Raghavan","Kozhikode","INC",0,"Graduate",1409694,1055000
"579","SUGAVANAM. E.G.","Krishnagiri","DMK",3,"12th Pass",16974157,5e+05
"581","TAPAS PAUL","Krishnanagar","AITC",5,"Graduate",9614227,0
"583","KOTLA JAYA SURYA PRAKASH REDDY","Kurnool","INC",0,"Graduate",53719195,3034000
"585","NAVEEN JINDAL","Kurukshetra","INC",0,"Post Graduate",1310730000,0
"587","KU. RATANJEET PRATAP NARAYAN SINGH","Kushi Nagar","INC",0,"Graduate",39975893,1e+05
"589","HASSAN KHAN","Ladakh","IND",0,"Graduate",6065000,0
"591","RANEE NARAH","Lakhimpur","INC",1,"Graduate",53976290,0
"593","Muhammed Hamdulla Sayeed A.B.","Lakshadweep","INC",0,"Graduate Professional",20977767,0
"595","DR. BALIRAM","Lalganj","BSP",0,"Doctorate",8003036,638922
"597","AAWALE JAYWANT GANGARAM","Latur","INC",1,"10th Pass",30485766,0
"599","Sudershan Bhagat","Lohardaga","BJP",0,"Graduate",3093207,236750
"601","LAL JI TANDON","Lucknow","BJP",0,"Graduate",21700160,0
"603","MANISH TEWARI","Ludhiana","INC",0,"Graduate Professional",29941543,0
"605","TUFANI SAROJ","Machhlishahr","SP",0,"Graduate",5336133,0
"607","Konakalla Narayana Rao","Machilipatnam","TDP",0,"12th Pass",8616000,3787000
"609","PAWAR SHARADCHANDRA GOVINDRAO","Madha","NCP",0,"10th Pass",87238434,0
"611","SHARAD YADAV","Madhepura","JD(U)",1,"Graduate Professional",14107050,0
"613","HUKM DEO NARAYAN YADAV","Madhubani","BJP",0,"Graduate",25012430,264033
"615","ALAGIRI M.K","Madurai","DMK",0,"Graduate",193978895,0
"617","P. BALRAM","Mahabubabad","INC",0,"Graduate",17195194,14122000
"619","Uma Shanaker Singh","Maharajganj","RJD",2,"10th Pass",10145601,450000
"621","Chandulal Sahu (Chandu Bhaiya)","Mahasamund","BJP",0,"Graduate Professional",6805000,1300000
"623","K. CHANDRASEKHARA RAO","Mahbubnagar","TRS",2,"Graduate",22669420,0
"625","JAYSHREEBEN KANUBHAI PATEL","Mahesana","BJP",0,"10th Pass",3343068,263528
"627","MULAYAM SINGH YADAV","Mainpuri","SP",0,"Post Graduate",22399310,42000
"629","E Ahamed","Malappuram","MUL",0,"Post Graduate",3887709,0
"631","Abu Hasem Khan Choudhury","Maldaha Dakshin","INC",0,"Doctorate",8782797,0
"633","Mausam Noor","Maldaha Uttar","INC",0,"Graduate Professional",1847359,234488
"635","SARVEY SATYANARAYANA","Malkajgiri","INC",1,"Graduate Professional",10112521,116848
"637","VIRBHADRA SINGH","Mandi","INC",0,"Post Graduate",225228748,628864
"639","BASORI SINGH MASRAM","Mandla","INC",0,"8th Pass",3621178,350000
"641","MEENAKSHI NATRAJAN","Mandsour","INC",0,"Post Graduate",1126966,0
"643","N Chaluvarayaswamy","Mandya","JD(S)",15,"12th Pass",54168804,4125000
"645","RAMEN DEKA","Mangaldoi","BJP",0,"Graduate",7579967,0
"647","JAYANT K SINGH","Mathura","RLD",1,"Post Graduate",30204219,288327
"649","CHOUDHURY MOHAN JATUA","Mathurapur","AITC",0,"Post Graduate",2585000,0
"651","BABAR GAJANAN DHARMSHI","Maval","SHS",7,"Literate",67831434,0
"653","Kodikunnil Suresh","Mavelikkara","INC",4,"Graduate Professional",1652747,77210
"655","MANIAN O.S","Mayiladuthurai","ADMK",1,"12th Pass",8635089,2e+06
"657","Laxman Tudu","Mayurbhanj","BJD",0,"Graduate",173000,38986
"659","VIJAYA SHANTHI .M","Medak","TRS",0,"10th Pass",271066905,0
"661","Prabodh Panda","Medinipur","CPI",0,"Graduate",2230746,362156
"663","RAJENDRA AGARWAL","Meerut","BJP",0,"Post Graduate",2121825,315620
"665","BAL KUMAR PATEL","Mirzapur","SP",10,"12th Pass",22978000,11695272
"667","ASHOK KUMAR RAWAT","Misrikh","BSP",0,"Post Graduate",6221049,665426
"669","C.L.RUALA","Mizoram","INC",0,"Graduate Professional",5354186,0
"671","SUSHILA SAROJ","Mohanlalganj","SP",0,"Post Graduate",28680230,2452429
"673","MOHAMMED AZHARUDDIN","Moradabad","INC",0,"Graduate",25233948,565160
"675","NARENDRA SINGH TOMAR","Morena","BJP",0,"Graduate",3453203,1780000
"677","SANJAY BRIJKISHORLAL NIRUPAM","Mumbai North","INC",5,"Graduate",22417801,3727000
"679","DUTT PRIYA SUNIL","Mumbai North Central","INC",0,"Graduate",349576448,147511
"681","SANJAY DINA PATIL","Mumbai North East","NCP",2,"Graduate",4323503,0
"683","AD.KAMAT GURUDAS VASANT","Mumbai North West","INC",0,"Graduate Professional",63926963,0
"685","DEORA MILIND MURLI","Mumbai South","INC",0,"Graduate Professional",175373142,0
"687","EKNATH M. GAIKWAD","Mumbai South Central","INC",0,"10th Pass",2195416,0
"689","ABDUL MANNAN HOSSAIN","Murshidabad","INC",1,"Graduate",1709788,1006391
"691","KADEER RANA","Muzaffarnagar","BSP",4,"Literate",58451906,0
"693","CAPTAIN JAI NARAYAN PRASAD NISHAD","Muzaffarpur","JD(U)",0,"12th Pass",15148831,4337141
"695","ADAGUR H. VISWANATH","Mysore","INC",0,"Graduate Professional",28291172,7367061
"697","Pradeep Kumar Majhi","Nabarangpur","INC",0,"Graduate",850000,345830
"699","VIJAYAN A K S","Nagapattinam","DMK",0,"12th Pass",7205000,1127000
"701","Dr. Manda Jagannath","Nagarkurnool","INC",0,"Post Graduate",28126000,3123000
"703","DR JYOTI MIRDHA","Nagaur","INC",0,"Graduate Professional",39039915,0
"705","YASHVIR SINGH","Nagina","SP",1,"12th Pass",784562,0
"707","MUTTEMWAR VILASRAO BABURAOJI","Nagpur","INC",0,"Graduate",15302294,2756726
"709","K.C. SINGH BABA","Nainital-Udhamsingh Nagar","INC",0,"12th Pass",43987049,649024
"711","KAUSHALENDRA KUMAR","Nalanda","JD(U)",0,"12th Pass",7133058,227065
"713","Gutha Sukender Reddy","Nalgonda","INC",0,"12th Pass",16040830,16662997
"715","GANDHISELVAN.S","Namakkal","DMK",2,"Post Graduate",4070482,0
"717","KHATGAONK PATIL BHASKARRAO BAPURAO","Nanded","INC",4,"Graduate",62416000,260000
"719","GAVIT MANIKRAO HODLYA","Nandurbar","INC",0,"5th Pass",41064753,0
"721","S.P.Y.REDDY","Nandyal","INC",1,"Graduate Professional",92821000,0
"723","VENUGOPALA REDDY MODUGULA","Narasaraopet","TDP",2,"Graduate Professional",27493309,51964
"725","BAPIRAJU KANUMURU","Narsapuram","INC",0,"10th Pass",30574013,3812438
"727","SAMEER BHUJBAL","Nashik","NCP",0,"10th Pass",66660039,0
"729","CHANDRAKANT RAGHUNATH PATIL","Navsari","BJP",6,"10th Pass",242083697,42208512
"731","BholaSingh","Nawada","BJP",0,"Doctorate",3893000,360000
"733","M Rajamohan Reddy","Nellore","INC",0,"Graduate Professional",363462696,0
"735","AJAY MAKAN","New Delhi","INC",1,"Post Graduate",40148040,97120
"737","RAJA A","Nilgiris","DMK",0,"Graduate Professional",14251669,166862
"739","Madhu Yaskhi Goud","Nizamabad","INC",0,"Post Graduate",119108338,15422084
"741","JAI PRAKASH AGARWAL","North East Delhi","INC",0,"Graduate",24928873,0
"743","SHRIPAD YESSO NAIK","North Goa","BJP",0,"Graduate",9897462,912582
"745","KIRSHNA TIRATH","North West Delhi","INC",0,"Graduate Professional",21146350,0
"747","RAJEN GOHAIN","Nowgong","BJP",1,"Graduate Professional",10210891,740165
"749","MAGUNTA SRINIVASULU REDDY","Ongole","INC",0,"Graduate",102065901,0
"751","PATIL PADAMSINHA BAJIRAO","Osmanabad","NCP",7,"Graduate Professional",75852364,0
"753","THANGSO BAITE","Outer Manipur","INC",0,"Post Graduate",1778418,880000
"755","M B Rajesh","Palakkad","CPM",16,"Post Graduate",1105474,504893
"757","KAMESHWAR BAITHA","Palamau","JMM",46,"10th Pass",570000,0
"759","JADHAV BALIRAM SUKUR","Palghar","BVA",0,"8th Pass",2399053,0
"761","BADRI RAM","Pali","INC",1,"Literate",60243814,498169
"763","PRABHATSINH PRATAPSINH CHAUHAN","Panchmahal","BJP",3,"10th Pass",7255000,0
"765","ADV. DUDHGAONKAR GANESHRAO NAGORAO","Parbhani","SHS",0,"Graduate Professional",28111720,0
"767","DR. SANJAY JAISWAL","Paschim Champaran","BJP",2,"Post Graduate",10950474,1169173
"769","RANJAN PRASAD YADAV","Pataliputra","JD(U)",1,"Doctorate",15319000,0
"771","JAGDISHBHAI MOTIJI THAKORE","Patan","INC",0,"10th Pass",3389298,1158381
"773","Anto Antony","Pathanamthitta","INC",0,"Graduate",1424205,1706713
"775","PRENEET KAUR","Patiala","INC",0,"Graduate",423043438,0
"777","SHATRUGHAN SINHA","Patna Sahib","BJP",0,"Graduate",150033976,25878099
"779","Dr. G. Vivekanand","Peddapalle","INC",0,"Graduate Professional",729509675,0
"781","NAPOLEON,D.","Perambalur","DMK",0,"Graduate",191419973,28270000
"783","KAPIL MUNI KARWARIYA","Phulpur","BSP",4,"Graduate Professional",NA,0
"785","FEROZE VARUN GANDHI","Pilibhit","BJP",6,"Graduate",49267810,0
"787","SUGUMAR.K","Pollachi","ADMK",0,"Graduate",21320000,191027
"789","NARAYANASAMY","Pondicherry","INC",0,"Post Graduate",35979157,2171758
"791","E T Mohamed Basheer","Ponnani","MUL",0,"10th Pass",605855,0
"793","VITTHALBHAI HANSRAJBHAI RADADIYA","Porbandar","INC",16,"Graduate",20675722,0
"795","RAJKUMARI RATNA SINGH","Pratapgarh","INC",5,"Graduate",678270725,1002000
"797","KALMADI SURESH","Pune","INC",1,"Post Graduate",128165624,0
"799","Pinaki Misra","Puri","BJD",0,"Graduate",296900000,0
"801","UDAY SINGH ALIAS PAPPU SINGH","Purnia","BJP",2,"12th Pass",419130669,1410120
"803","Narahari Mahato","Purulia","AIFB",0,"Post Graduate",3086000,4e+05
"805","RADHA MOHAN SINGH","Purvi Champaran","BJP",0,"Graduate",7629444,184731
"807","SONIA GANDHI","Rae bareli","INC",0,"Others",13794768,0
"809","S Pakkirappa","Raichur","BJP",1,"5th Pass",7736230,0
"811","ANANT GEETE","Raigad","SHS",1,"10th Pass",8555617,0
"813","Deepa Dasmunsi","Raiganj","INC",0,"Post Graduate",12514145,0
"815","Vishu Deo Sai","Raigarh","BJP",0,"10th Pass",2302000,0
"817","V Arun Kumar","Rajahmundry","INC",2,"Graduate Professional",13073077,979680
"819","ANNAYYAGARI SAI PRATHAP","Rajampet","INC",0,"12th Pass",6233245,605031
"821","NARAYANSINGH AMLABE","Rajgarh","INC",0,"12th Pass",3808133,161617
"823","KUNVARJIBHAI MOHANBHAI BAVALIYA","Rajkot","INC",3,"Graduate",4560852,599799
"825","DEVIDHAN BESRA","Rajmahal","BJP",0,"10th Pass",4828559,0
"827","Madhusudan Yadav","Rajnandgaon","BJP",1,"12th Pass",1165680,0
"829","GOPAL SINGH","Rajsamand","INC",0,"Graduate Professional",4106255,489648
"831","SIVAKUMAR @ J.K. RITHEESH. K","Ramanathapuram","DMK",2,"Graduate",122820653,4e+06
"833","JAYA PRADA NAHATA","Rampur","SP",0,"12th Pass",131490118,1398995
"835","WASNIK MUKUL BALKRISHNA","Ramtek","INC",1,"Post Graduate",3111932,0
"837","SUCHARU RANJAN HALDAR","Ranaghat","AITC",0,"Post Graduate",10882896,0
"839","SUBODH KANT SAHAY","Ranchi","INC",1,"Graduate",27179918,0
"841","KANTILAL BHURIA","Ratlam","INC",0,"Post Graduate",30557089,0
"843","DR.NILESH NARAYAN RANE","Ratnagiri Sindhudurg","INC",1,"Doctorate",30561862,0
"845","HARIBHAU MADHAV JAWALE","Raver","BJP",0,"Graduate",7842881,629917
"847","DEORAJ SINGH PATEL","Rewa","BSP",0,"Post Graduate",30845000,4961271
"849","PAKAURI LAL","Robertsganj","SP",0,"Literate",1762515,0
"851","DEEPENDER SINGH","Rohtak","INC",0,"Post Graduate",65367032,0
"853","MAHENDRASINH PRUTHVISINH CHAUHAN","Sabarkantha","BJP",0,"Graduate Professional",8842370,161190
"855","JAGDISH SINGH RANA","Saharanpur","BSP",0,"Graduate",18867277,298187
"857","SEMMALAI S","Salem","ADMK",2,"Graduate Professional",46220339,59000
"859","RAMASHANKAR RAJBHAR","Salempur","BSP",0,"Graduate",2305000,0
"861","MAHESWER HAZARI","Samastipur","JD(U)",0,"Post Graduate",6964921,1054356
"863","Amarnath Pradhan","Sambalpur","INC",0,"Graduate",4325000,466494
"865","DR. SHAFIQUR RAHMAN BARQ","Sambhal","BSP",0,"Graduate",7059763,0
"867","PRATIK PRAKASHBAPU PATIL","Sangli","INC",1,"Others",22137000,1358000
"869","VIJAY INDER SINGLA","Sangrur","INC",0,"12th Pass",34777859,374957
"871","BHISMA SHANKAR ALIAS KUSHAL TIWARI","Sant Kabir Nagar","BSP",0,"12th Pass",31926944,1125920
"873","MEIRA KUMAR","Sasaram","INC",0,"Post Graduate",101565500,0
"875","BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH","Satara","NCP",14,"Others",117253344,1800000
"877","GANESH SINGH","Satna","BJP",3,"Post Graduate",7372032,16585
"879","ANJAN KUMAR YADAV","Secunderabad","INC",0,"12th Pass",20620697,1500000
"881","RAJESH NANDINI SINGH","Shahdol","INC",0,"Graduate",11475000,2e+05
"883","MITHLESH","Shahjahanpur","SP",0,"Graduate",8035655,1746024
"885","RAMA DEVI","Sheohar","BJP",5,"Graduate Professional",69429234,883367
"887","VINCENT H PALA","Shillong","INC",0,"Graduate Professional",251618190,0
"889","VIRENDER KASHYAP","Shimla","BJP",0,"Post Graduate",3434928,0
"891","B.Y. RAGHAVENDRA","Shimoga","BJP",0,"Graduate Professional",66273401,4234969
"893","WAKCHOURE BHAUSAHEB RAJARAM","Shirdi","SHS",0,"Post Graduate",17860515,2427069
"895","ADHALRAO SHIVAJI DATTATRAY","Shirur","SHS",4,"Post Graduate",127113134,16221275
"897","VINAY KUMAR ALIAS VINNU","Shrawasti","INC",4,"Doctorate",15743200,589157
"899","GOVIND PRASAD MISHRA","Sidhi","BJP",0,"Graduate Professional",5187425,0
"901","MAHADEV SINGH","Sikar","INC",0,"Post Graduate",7879689,0
"903","PREM DAS RAI","Sikkim","SDF",0,"Post Graduate",18503294,841835
