Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
1,A K BISWAS,BSP,0,Graduate,61,"Rs 78,76,500","Rs 65,000",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 78 Lacs+,~ 65 Thou+,ANDAMAN & NICOBAR ISLANDS
2,ASIT BARAN DUTTA,IND,0,Graduate,50,"Rs 30,70,000",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 30 Lacs+,~ ,ANDAMAN & NICOBAR ISLANDS
3,BISHNU PADA RAY,BJP,0,Graduate,54,"Rs 12,50,619","Rs 1,28,710",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 12 Lacs+,~ 1 Lacs+,ANDAMAN & NICOBAR ISLANDS
4,DEEPAK BISWAS,IND,0,Not Given,28,"Rs 3,000",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 3 Thou+,~ ,ANDAMAN & NICOBAR ISLANDS
5,DR SHANMUGAM,LJNSP,0,Doctorate,66,"Rs 61,66,416","Rs 67,070",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 61 Lacs+,~ 67 Thou+,ANDAMAN & NICOBAR ISLANDS
6,GOUR CHANDRA MAJUMDER,IND,0,Graduate,37,"Rs 36,200",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 36 Thou+,~ ,ANDAMAN & NICOBAR ISLANDS
7,K KALIMUTHU,IND,1,8th Pass,51,"Rs 4,72,440","Rs 73,878",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 4 Lacs+,~ 73 Thou+,ANDAMAN & NICOBAR ISLANDS
8,K PERUMAL,SWD,0,Literate,65,"Rs 77,52,141",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 77 Lacs+,~ ,ANDAMAN & NICOBAR ISLANDS
9,MANORANJAN BHAKTA,INC,0,Post Graduate,65,"Rs 59,26,740","Rs 2,72,061",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 59 Lacs+,~ 2 Lacs+,ANDAMAN & NICOBAR ISLANDS
10,N K P NAIR,CPI(ML)(L),0,Literate,49,"Rs 7,72,588","Rs 1,88,000",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 7 Lacs+,~ 1 Lacs+,ANDAMAN & NICOBAR ISLANDS
11,R S UMA BHARATHY,NCP,1,Not Given,40,"Rs 59,977","Rs 35,000",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 59 Thou+,~ 35 Thou+,ANDAMAN & NICOBAR ISLANDS
12,TAPAN KUMAR BEPARI,CPM,0,Post Graduate,46,"Rs 24,35,276",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 24 Lacs+,~ ,ANDAMAN & NICOBAR ISLANDS
1,A. C V. SUBBAIAH,BSP,0,Graduate,40,"Rs 1,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ ,ANDHRA PRADESH
2,A. JAGAN MOHAN RAO,TRS,0,Graduate,32,"Rs 5,05,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 5 Lacs+,~ ,ANDHRA PRADESH
3,A. NARENDRA,TRS,0,Graduate,49,"Rs 20,20,000","Rs 5,00,000",ANDHRA PRADESH
,,,,,,~ 20 Lacs+,~ 5 Lacs+,ANDHRA PRADESH
4,A.MALLA RAO,TRS,0,Others,42,"Rs 3,55,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 3 Lacs+,~ ,ANDHRA PRADESH
5,A.NAGESWARA RAO,PPOI,0,Graduate,54,"Rs 6,45,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 6 Lacs+,~ ,ANDHRA PRADESH
6,ABDUS SATTAR MUJAHED,Muslim League Kerala State Committee,0,Not Given,37,"Rs 80,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 80 Thou+,~ ,ANDHRA PRADESH
7,ACHANTA BAPIRAJU,IND,0,Graduate,64,"Rs 2,81,447",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Lacs+,~ ,ANDHRA PRADESH
8,ADAPALA SIVANNARAYANA,PPOI,0,Others,32,"Rs 2,98,906",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Lacs+,~ ,ANDHRA PRADESH
9,ALLA RAMA CHANDRA REDDY,IND,0,5th Pass,57,"Rs 9,00,000","Rs 25,000",ANDHRA PRADESH
,,,,,,~ 9 Lacs+,~ 25 Thou+,ANDHRA PRADESH
10,ALLURI YUGANDHARA RAJU,PPOI,0,Post Graduate,39,"Rs 4,51,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ ,ANDHRA PRADESH
11,AMBATI BRAHMANAIAH,TDP,0,Post Graduate,64,"Rs 15,46,471","Rs 1,68,301",ANDHRA PRADESH
,,,,,,~ 15 Lacs+,~ 1 Lacs+,ANDHRA PRADESH
12,ANANTHA VENKATA RAMI REDDY,INC,0,Post Graduate,47,"Rs 38,90,000","Rs 4,37,636",ANDHRA PRADESH
,,,,,,~ 38 Lacs+,~ 4 Lacs+,ANDHRA PRADESH
13,ANNAYYAGARI SAI PRATHAP,INC,0,12th Pass,59,"Rs 97,09,190","Rs 11,60,909",ANDHRA PRADESH
,,,,,,~ 97 Lacs+,~ 11 Lacs+,ANDHRA PRADESH
14,APPARAO DAMALAPATI,IND,0,10th Pass,60,"Rs 42,96,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 42 Lacs+,~ ,ANDHRA PRADESH
15,APPARAO GUDIVADA,IND,0,Not Given,63,"Rs 2,26,200",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Lacs+,~ ,ANDHRA PRADESH
16,ARIKA GUMPASWAMY,IND,0,Not Given,55,"Rs 4,42,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ ,ANDHRA PRADESH
17,ARUNA CHANDRA,IND,0,Not Given,44,"Rs 2,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Lacs+,~ ,ANDHRA PRADESH
18,ARUNA KUMAR VUNDAVALLI,INC,2,Graduate Professional,50,"Rs 2,34,31,318","Rs 8,81,017",ANDHRA PRADESH
,,,,,,~ 2 Crore+,~ 8 Lacs+,ANDHRA PRADESH
19,ASADUDDIN OWAISI,AIMIM,3,Graduate Professional,37,"Rs 39,02,342",Rs 0,ANDHRA PRADESH
,,,,,,~ 39 Lacs+,~ ,ANDHRA PRADESH
20,ASHOKA RAO PEECHARA,TRS,0,12th Pass,47,"Rs 4,88,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ ,ANDHRA PRADESH
21,ASWINI DUTT CHALASANI,TDP,0,Others,53,"Rs 2,69,50,458","Rs 59,35,000",ANDHRA PRADESH
,,,,,,~ 2 Crore+,~ 59 Lacs+,ANDHRA PRADESH
22,B. S. AMARNATH,IND,0,Graduate,42,"Rs 33,698",Rs 0,ANDHRA PRADESH
,,,,,,~ 33 Thou+,~ ,ANDHRA PRADESH
23,B. SURENDER KUMAR,TRS,0,Graduate,31,"Rs 70,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 70 Thou+,~ ,ANDHRA PRADESH
24,B.K.PARDHASARATHI,TDP,0,Graduate,45,"Rs 43,06,482","Rs 21,96,288",ANDHRA PRADESH
,,,,,,~ 43 Lacs+,~ 21 Lacs+,ANDHRA PRADESH
25,B.N.V.SATYANARAYANA,TRS,0,Post Graduate,42,"Rs 50,000","Rs 10,50,000",ANDHRA PRADESH
,,,,,,~ 50 Thou+,~ 10 Lacs+,ANDHRA PRADESH
26,B.NARAYANA REDDY,RPI,0,Not Given,42,"Rs 15,07,000","Rs 27,000",ANDHRA PRADESH
,,,,,,~ 15 Lacs+,~ 27 Thou+,ANDHRA PRADESH
27,B.S.RAO,TRS,0,Others,42,"Rs 82,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 82 Lacs+,~ ,ANDHRA PRADESH
28,B.VINOD KUMAR,TRS,0,Graduate,45,"Rs 1,00,11,716",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Crore+,~ ,ANDHRA PRADESH
29,BADIGA RAMAKRISHNA,INC,0,12th Pass,61,"Rs 13,85,45,000","Rs 1,15,59,000",ANDHRA PRADESH
,,,,,,~ 13 Crore+,~ 1 Crore+,ANDHRA PRADESH
30,BAISA RAMADASU,IND,0,12th Pass,48,"Rs 11,100",Rs 0,ANDHRA PRADESH
,,,,,,~ 11 Thou+,~ ,ANDHRA PRADESH
31,BALAKONDAIAH KARUPOTALA,BJP,0,Graduate,65,"Rs 4,61,481",Rs 0,ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ ,ANDHRA PRADESH
32,BALASHOWRY VALLABHANENI,INC,0,Graduate,36,"Rs 10,32,38,914","Rs 3,50,000",ANDHRA PRADESH
,,,,,,~ 10 Crore+,~ 3 Lacs+,ANDHRA PRADESH
33,BANDARU DATTATRAYA,BJP,0,Graduate,57,"Rs 73,63,517",Rs 0,ANDHRA PRADESH
,,,,,,~ 73 Lacs+,~ ,ANDHRA PRADESH
34,BANOTH SOMLA NAIK,IND,0,Others,58,"Rs 44,60,000","Rs 3,06,157",ANDHRA PRADESH
,,,,,,~ 44 Lacs+,~ 3 Lacs+,ANDHRA PRADESH
35,BATHULA VIJAYA BHARATHI,TDP,0,Not Given,Unknown,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
36,BELLAIAH TEJAVATH,IND,0,Not Given,52,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
37,BHAGWAN DAS,IND,0,Others,45,"Rs 1,02,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ ,ANDHRA PRADESH
38,BHARANIKANA RAMA RAO,IND,0,Post Graduate,Unknown,"Rs 99,12,102",Rs 0,ANDHRA PRADESH
,,,,,,~ 99 Lacs+,~ ,ANDHRA PRADESH
39,BHUMA SHOBHA NAGI REDDY,TDP,0,12th Pass,34,"Rs 3,40,03,688","Rs 48,19,821",ANDHRA PRADESH
,,,,,,~ 3 Crore+,~ 48 Lacs+,ANDHRA PRADESH
40,BODAKUNTI VENKATESHWARLU,TDP,0,Graduate,47,"Rs 69,33,697","Rs 39,26,747",ANDHRA PRADESH
,,,,,,~ 69 Lacs+,~ 39 Lacs+,ANDHRA PRADESH
41,BOLLA BULLI RAMAIAH,TDP,0,Others,77,"Rs 8,33,68,069","Rs 34,70,256",ANDHRA PRADESH
,,,,,,~ 8 Crore+,~ 34 Lacs+,ANDHRA PRADESH
42,BOYALLA RANGANAYAKULU,IND,0,Not Given,Unknown,"Rs 12,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 12 Lacs+,~ ,ANDHRA PRADESH
43,BUDDA REDDY SRINIVASA REDDY,IND,0,Not Given,33,"Rs 66,86,000","Rs 23,00,000",ANDHRA PRADESH
,,,,,,~ 66 Lacs+,~ 23 Lacs+,ANDHRA PRADESH
44,BURRA VENKANNA,IND,0,5th Pass,39,"Rs 54,000","Rs 3,000",ANDHRA PRADESH
,,,,,,~ 54 Thou+,~ 3 Thou+,ANDHRA PRADESH
45,C.BALAVARADA REDDY,IND,0,Others,39,"Rs 1,30,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ ,ANDHRA PRADESH
46,C.GOPI NARASIMHA REDDY,IND,0,Graduate,28,"Rs 20,000","Rs 20,000",ANDHRA PRADESH
,,,,,,~ 20 Thou+,~ 20 Thou+,ANDHRA PRADESH
47,CHADA SURESH REDDY,TDP,0,Graduate,45,"Rs 2,36,65,000","Rs 1,20,000",ANDHRA PRADESH
,,,,,,~ 2 Crore+,~ 1 Lacs+,ANDHRA PRADESH
48,CHALAPATHIRAO PAPPALA,TDP,0,Graduate,58,"Rs 53,96,505","Rs 2,46,000",ANDHRA PRADESH
,,,,,,~ 53 Lacs+,~ 2 Lacs+,ANDHRA PRADESH
49,CHELLAMALLA VENKATA REDDY,TRS,0,Graduate,Unknown,"Rs 70,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 70 Thou+,~ ,ANDHRA PRADESH
50,CHENNAMANENI VIDYASAGAR RAO,BJP,0,Graduate Professional,61,"Rs 51,96,600",Rs 0,ANDHRA PRADESH
,,,,,,~ 51 Lacs+,~ ,ANDHRA PRADESH
51,CHINTA MOHAN,INC,0,Graduate Professional,49,"Rs 39,82,900","Rs 13,25,256",ANDHRA PRADESH
,,,,,,~ 39 Lacs+,~ 13 Lacs+,ANDHRA PRADESH
52,D. MURALIKRISHNA,BSP,0,Others,59,"Rs 67,63,811","Rs 7,48,000",ANDHRA PRADESH
,,,,,,~ 67 Lacs+,~ 7 Lacs+,ANDHRA PRADESH
53,D. VITTAL RAO,INC,0,Graduate,53,"Rs 6,50,75,830","Rs 30,00,000",ANDHRA PRADESH
,,,,,,~ 6 Crore+,~ 30 Lacs+,ANDHRA PRADESH
54,D.A NAGARAJU,IND,0,Not Given,46,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
55,D.K. AUDIKESAVULU,TDP,0,Not Given,63,"Rs 67,05,76,468",Rs 0,ANDHRA PRADESH
,,,,,,~ 67 Crore+,~ ,ANDHRA PRADESH
56,D.S.V.KRISHNAJI,BSP,0,Others,38,"Rs 34,65,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 34 Lacs+,~ ,ANDHRA PRADESH
57,DADICHILUKA VEERA GOURI SANKARA RAO,TDP,0,Doctorate,35,"Rs 9,21,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 9 Lacs+,~ ,ANDHRA PRADESH
58,DAGGUBATI PURANDARESWARI,INC,0,Others,44,"Rs 4,09,07,640","Rs 52,12,201",ANDHRA PRADESH
,,,,,,~ 4 Crore+,~ 52 Lacs+,ANDHRA PRADESH
59,DAGGUBATI RAMANAIDU,TDP,0,Graduate,67,"Rs 9,87,90,428",Rs 0,ANDHRA PRADESH
,,,,,,~ 9 Crore+,~ ,ANDHRA PRADESH
60,DAVA PENCHALA RAO,IND,0,Others,Unknown,"Rs 1,00,000","Rs 24,500",ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ 24 Thou+,ANDHRA PRADESH
61,DILIP RAAJA DONEPUDI,BSP,0,Graduate,44,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
62,DODDA KAMESWARA RAO,IND,0,10th Pass,49,"Rs 15,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 15 Lacs+,~ ,ANDHRA PRADESH
63,DOMAKONDA RAVI KUMAR,IND,0,10th Pass,36,"Rs 4,05,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ ,ANDHRA PRADESH
64,DONEPUDI SRINIVAS,IND,0,Others,41,"Rs 1,31,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ ,ANDHRA PRADESH
65,DR S VENUGOPALA CHARY,TDP,0,Others,42,"Rs 1,15,80,000","Rs 12,47,053",ANDHRA PRADESH
,,,,,,~ 1 Crore+,~ 12 Lacs+,ANDHRA PRADESH
66,DR. G.RAGHAVULU,IND,0,Others,47,"Rs 1,35,000","Rs 1,70,000",ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ 1 Lacs+,ANDHRA PRADESH
67,DR. N. VENKATA SWAMY,BJP,0,Post Graduate,72,"Rs 71,27,164",Rs 0,ANDHRA PRADESH
,,,,,,~ 71 Lacs+,~ ,ANDHRA PRADESH
68,DR. PARAMESHWAR REDDY,PPOI,0,Graduate Professional,36,"Rs 78,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 78 Thou+,~ ,ANDHRA PRADESH
69,DR. RAVURI VENKATA SWAMY,INC,0,Graduate,54,"Rs 1,18,15,429","Rs 2,28,886",ANDHRA PRADESH
,,,,,,~ 1 Crore+,~ 2 Lacs+,ANDHRA PRADESH
70,DR.DHARMAPUR SAMPATH RAJARAM YADAV,IND,0,Others,52,"Rs 77,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 77 Lacs+,~ ,ANDHRA PRADESH
71,DR.M.V.V.S.MURTHY,TDP,0,Not Given,65,"Rs 2,73,39,275",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Crore+,~ ,ANDHRA PRADESH
72,DR.MANDA JAGANNATH,TDP,0,Post Graduate,52,"Rs 65,45,314","Rs 23,39,000",ANDHRA PRADESH
,,,,,,~ 65 Lacs+,~ 23 Lacs+,ANDHRA PRADESH
73,DR.MT. C. SUGUNA,TDP,0,Post Graduate,48,"Rs 5,02,79,356",Rs 0,ANDHRA PRADESH
,,,,,,~ 5 Crore+,~ ,ANDHRA PRADESH
74,DUGGIRALA RAJA RAMKUMAR,IND,0,Post Graduate,53,"Rs 15,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 15 Lacs+,~ ,ANDHRA PRADESH
75,DUGGIREDDY DHARMA REDDY,IND,0,Not Given,Unknown,"Rs 59,500",Rs 0,ANDHRA PRADESH
,,,,,,~ 59 Thou+,~ ,ANDHRA PRADESH
76,DUNNA JANARDHANA RAO,TDP,0,Graduate,51,"Rs 9,88,000","Rs 60,000",ANDHRA PRADESH
,,,,,,~ 9 Lacs+,~ 60 Thou+,ANDHRA PRADESH
77,G. RAMCHANDRAIAH YADAV,BSP,0,Others,47,Rs 182,Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Hund+,~ ,ANDHRA PRADESH
78,G. VENKAT SWAMY,INC,0,10th Pass,76,"Rs 1,94,64,700",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Crore+,~ ,ANDHRA PRADESH
79,G.RAVINDRANATHA REDDY,JP,0,8th Pass,53,"Rs 18,11,500","Rs 3,10,000",ANDHRA PRADESH
,,,,,,~ 18 Lacs+,~ 3 Lacs+,ANDHRA PRADESH
80,G.SUBASH CHANDERJI,BJP,0,Others,51,"Rs 3,38,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 3 Lacs+,~ ,ANDHRA PRADESH
81,G.VENKATESH,TRS,0,Graduate,47,"Rs 38,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 38 Thou+,~ ,ANDHRA PRADESH
82,GADDALA NAGABHUSHANAM,BSP,0,Graduate,41,"Rs 97,000","Rs 9,000",ANDHRA PRADESH
,,,,,,~ 97 Thou+,~ 9 Thou+,ANDHRA PRADESH
83,GADE JHANSI,IND,0,Graduate,40,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
84,GATLA VENKATA NARAYANA REDDY,IND,0,Post Graduate,41,"Rs 6,15,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 6 Lacs+,~ ,ANDHRA PRADESH
85,GIRI NIVARTHI RAO YADAV,IND,0,Post Graduate,52,"Rs 48,42,200",Rs 0,ANDHRA PRADESH
,,,,,,~ 48 Lacs+,~ ,ANDHRA PRADESH
86,GONTU VENKATESWARA REDDY,IND,0,Graduate,59,"Rs 10,75,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 10 Lacs+,~ ,ANDHRA PRADESH
87,GOTTUMUKKALA SIVA PRASADARAJU,IND,0,Post Graduate,42,"Rs 16,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 16 Thou+,~ ,ANDHRA PRADESH
88,GUDIPUDI NARASIMHA RAO,IND,0,Not Given,Unknown,"Rs 20,000","Rs 3,00,000",ANDHRA PRADESH
,,,,,,~ 20 Thou+,~ 3 Lacs+,ANDHRA PRADESH
89,GUMMI BAKKA REDDY,IND,0,Not Given,60,"Rs 1,25,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ ,ANDHRA PRADESH
90,GUNIPATI RAMAIAH,TDP,0,10th Pass,42,"Rs 42,39,986","Rs 6,06,000",ANDHRA PRADESH
,,,,,,~ 42 Lacs+,~ 6 Lacs+,ANDHRA PRADESH
91,GYARA PRATHAP,IND,0,10th Pass,41,"Rs 8,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 8 Lacs+,~ ,ANDHRA PRADESH
92,H.K. JAISWAL,IND,0,Not Given,62,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
93,HAJI MD. AZAM SHAIK,IND,0,10th Pass,76,"Rs 30,000","Rs 37,000",ANDHRA PRADESH
,,,,,,~ 30 Thou+,~ 37 Thou+,ANDHRA PRADESH
94,HUMERA AZIZ,AIMIM,0,Graduate,34,"Rs 3,81,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 3 Lacs+,~ ,ANDHRA PRADESH
95,INAGANTI APPARAO,IND,0,Others,40,"Rs 32,98,000","Rs 2,00,000",ANDHRA PRADESH
,,,,,,~ 32 Lacs+,~ 2 Lacs+,ANDHRA PRADESH
96,INDI REDDY THIMMA REDDY,RJD,2,Not Given,38,"Rs 11,50,000","Rs 1,80,000",ANDHRA PRADESH
,,,,,,~ 11 Lacs+,~ 1 Lacs+,ANDHRA PRADESH
97,INJETI KRISHNA REDDY,IND,2,Not Given,40,"Rs 30,50,000","Rs 30,000",ANDHRA PRADESH
,,,,,,~ 30 Lacs+,~ 30 Thou+,ANDHRA PRADESH
98,JAIPAL REDDY SUDINI,INC,0,Post Graduate,62,"Rs 1,22,64,007","Rs 15,46,865",ANDHRA PRADESH
,,,,,,~ 1 Crore+,~ 15 Lacs+,ANDHRA PRADESH
99,JAKKA TARAKA MALLIKARJUNA RAO,IND,0,Graduate,37,"Rs 45,400",Rs 0,ANDHRA PRADESH
,,,,,,~ 45 Thou+,~ ,ANDHRA PRADESH
100,JAMES,IND,0,12th Pass,39,"Rs 10,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 10 Thou+,~ ,ANDHRA PRADESH
101,JANARDHANA REDDY NEDURUMALLI,INC,0,Graduate Professional,69,"Rs 1,09,16,531","Rs 11,212",ANDHRA PRADESH
,,,,,,~ 1 Crore+,~ 11 Thou+,ANDHRA PRADESH
102,JANNI APPA RAO,BSP,0,12th Pass,30,"Rs 1,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ ,ANDHRA PRADESH
103,JHANSI BOTCHA,INC,0,Post Graduate,40,"Rs 2,59,00,500",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Crore+,~ ,ANDHRA PRADESH
104,JUPALLI HANUMANTHA RAO GOUD,BSP,0,10th Pass,39,"Rs 12,50,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 12 Lacs+,~ ,ANDHRA PRADESH
105,K. CHANDRA SHAKHER RAO,TRS,0,Graduate,51,"Rs 85,98,858","Rs 25,59,507",ANDHRA PRADESH
,,,,,,~ 85 Lacs+,~ 25 Lacs+,ANDHRA PRADESH
106,K. ESWAR RAO,TRS,0,12th Pass,27,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
107,K. LAXMAIAH YADAV,IND,0,Graduate,45,"Rs 1,80,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ ,ANDHRA PRADESH
108,K. V. KRISHNA KUMAR,IND,1,Graduate,26,"Rs 50,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 50 Thou+,~ ,ANDHRA PRADESH
109,K. VENKATESULU,PPOI,0,12th Pass,44,"Rs 54,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 54 Thou+,~ ,ANDHRA PRADESH
110,K.S.RATNAM,IND,0,Not Given,46,"Rs 68,97,500","Rs 5,06,545",ANDHRA PRADESH
,,,,,,~ 68 Lacs+,~ 5 Lacs+,ANDHRA PRADESH
111,KAILASH CHANDRA,IND,0,12th Pass,64,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
112,KALAVA SRINIVASULU,TDP,0,Post Graduate,39,"Rs 3,00,320","Rs 88,000",ANDHRA PRADESH
,,,,,,~ 3 Lacs+,~ 88 Thou+,ANDHRA PRADESH
113,KAMBALAPADU EDIGA KRISHNAMURTHI,TDP,0,Not Given,65,"Rs 3,24,96,805","Rs 1,86,82,834",ANDHRA PRADESH
,,,,,,~ 3 Crore+,~ 1 Crore+,ANDHRA PRADESH
114,KAMILLA JAYA RAO,IND,1,12th Pass,38,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
115,KANTIPUDI SARVARAYUDU,BJP,0,Graduate,53,"Rs 2,52,11,596",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Crore+,~ ,ANDHRA PRADESH
116,KATTAMANCHI PRABHAKAR,IND,0,Post Graduate,35,"Rs 70,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 70 Thou+,~ ,ANDHRA PRADESH
117,KAVURU SAMBA SIVA RAO,INC,0,Not Given,60,"Rs 11,78,98,221","Rs 1,91,621",ANDHRA PRADESH
,,,,,,~ 11 Crore+,~ 1 Lacs+,ANDHRA PRADESH
118,KILLI KRUPARANI,INC,0,Not Given,Unknown,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
119,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,INC,0,Post Graduate,57,"Rs 22,06,78,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 22 Crore+,~ ,ANDHRA PRADESH
120,KODURI SRIRAMULU,IND,0,10th Pass,45,"Rs 31,46,414","Rs 1,42,243",ANDHRA PRADESH
,,,,,,~ 31 Lacs+,~ 1 Lacs+,ANDHRA PRADESH
121,KOLAVENTI SUNDARA RAO,BSP,0,Graduate Professional,64,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
122,KONDA LAKSHMA REDDY,INC,0,Graduate,56,"Rs 10,25,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 10 Lacs+,~ ,ANDHRA PRADESH
123,KONDABOINA SREENIVASULU K,PPOI,0,Not Given,35,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
124,KONDAPALLI PYDITHALLI NAIDU,TDP,0,Not Given,73,"Rs 19,79,000","Rs 50,000",ANDHRA PRADESH
,,,,,,~ 19 Lacs+,~ 50 Thou+,ANDHRA PRADESH
125,KOTHAPALLI SANDRI MENAYYA,BSP,0,Graduate,69,"Rs 18,15,000","Rs 4,00,000",ANDHRA PRADESH
,,,,,,~ 18 Lacs+,~ 4 Lacs+,ANDHRA PRADESH
126,KOTLA JAYASURYA PRAKASHA REDDY,INC,0,Graduate,52,"Rs 1,59,41,801","Rs 6,81,000",ANDHRA PRADESH
,,,,,,~ 1 Crore+,~ 6 Lacs+,ANDHRA PRADESH
127,LAKU OBULESU,IND,0,Not Given,42,"Rs 2,27,000","Rs 2,00,000",ANDHRA PRADESH
,,,,,,~ 2 Lacs+,~ 2 Lacs+,ANDHRA PRADESH
128,M. ANJAN KUMAR YADAV,INC,0,12th Pass,39,"Rs 42,50,700","Rs 8,10,500",ANDHRA PRADESH
,,,,,,~ 42 Lacs+,~ 8 Lacs+,ANDHRA PRADESH
129,M.D. PAUL VEDANTH,BSP,0,Graduate,44,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
130,MADDELA BRAHMANAIDU,IND,0,Not Given,32,"Rs 22,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 22 Thou+,~ ,ANDHRA PRADESH
131,MADDELA ODELU,IND,0,Not Given,27,"Rs 4,78,000","Rs 60,000",ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ 60 Thou+,ANDHRA PRADESH
132,MADDI LAKSHMAIAH,TDP,0,Others,74,"Rs 16,90,62,689","Rs 1,57,955",ANDHRA PRADESH
,,,,,,~ 16 Crore+,~ 1 Lacs+,ANDHRA PRADESH
