Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
,,,,,~ 1ÿCrore+,~ 
Rameshwar Teli,DIBRUGARH,BJP,0,10th Pass,"Rsÿ9,77,943",Rsÿ0
,,,,,~ 9ÿLacs+,~ 
Udhaya Kumar .M,DINDIGUL,AIADMK,0,Post Graduate,"Rsÿ2,78,10,000","Rsÿ28,00,000"
,,,,,~ 2ÿCrore+,~ 28ÿLacs+
Chavan Harishchandra Deoram,DINDORI,BJP,1,Graduate,"Rsÿ3,72,40,147","Rsÿ8,81,137"
,,,,,~ 3ÿCrore+,~ 8ÿLacs+
Jagdambika Pal,DOMARIYAGANJ,BJP,0,Post Graduate,"Rsÿ1,78,22,082","Rsÿ49,81,555"
,,,,,~ 1ÿCrore+,~ 49ÿLacs+
Saugata Roy,DUM DUM,AITC,0,Post Graduate,"Rsÿ1,94,52,010","Rsÿ25,00,000"
,,,,,~ 1ÿCrore+,~ 25ÿLacs+
Shibu Soren,DUMKA,JMM,0,10th Pass,"Rsÿ4,67,60,684","Rsÿ14,79,721"
,,,,,~ 4ÿCrore+,~ 14ÿLacs+
Tamradwaj Sahu,DURG,INC,0,12th Pass,"Rsÿ2,10,02,226","Rsÿ17,77,720"
,,,,,~ 2ÿCrore+,~ 17ÿLacs+
Mahesh Giri,EAST DELHI,BJP,1,10th Pass,"Rsÿ52,16,375","Rsÿ4,00,000"
,,,,,~ 52ÿLacs+,~ 4ÿLacs+
Venkateswara Rao Maganti,ELURU,TDP,2,10th Pass,"Rsÿ12,93,94,729","Rsÿ5,52,94,433"
,,,,,~ 12ÿCrore+,~ 5ÿCrore+
K.V. Thomas,ERNAKULAM,INC,0,Post Graduate,"Rsÿ1,18,48,550","Rsÿ5,22,352"
,,,,,~ 1ÿCrore+,~ 5ÿLacs+
Selvakumara Chinnayan S,ERODE,AIADMK,0,Post Graduate,"Rsÿ4,74,59,708",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Rajvir Singh,ETAH,BJP,0,Graduate Professional,"Rsÿ25,19,21,157","Rsÿ4,68,98,091"
,,,,,~ 25ÿCrore+,~ 4ÿCrore+
Ashok Kumar Doharey,ETAWAH,BJP,0,Graduate,"Rsÿ1,22,52,688",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Lallu Singh,FAIZABAD,BJP,1,Post Graduate,"Rsÿ1,51,27,861","Rsÿ36,40,964"
,,,,,~ 1ÿCrore+,~ 36ÿLacs+
Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,"Rsÿ29,64,40,144","Rsÿ1,97,07,475"
,,,,,~ 29ÿCrore+,~ 1ÿCrore+
Prof. Sadhu Singh,FARIDKOT,AAP,0,Post Graduate,"Rsÿ58,79,516","Rsÿ70,000"
,,,,,~ 58ÿLacs+,~ 70ÿThou+
Mukesh Rajput,FARRUKHABAD,BJP,0,Graduate,"Rsÿ2,61,78,100","Rsÿ1,51,603"
,,,,,~ 2ÿCrore+,~ 1ÿLacs+
Harinder Singh Khalsa,FATEHGARH SAHIB,AAP,0,Post Graduate,"Rsÿ3,55,88,128","Rsÿ67,00,000"
,,,,,~ 3ÿCrore+,~ 67ÿLacs+
Sadhavi Niranjan Jyoti,FATEHPUR,BJP,1,12th Pass,"Rsÿ37,63,779","Rsÿ1,76,616"
,,,,,~ 37ÿLacs+,~ 1ÿLacs+
Babulal,FATEHPUR SIKRI,BJP,3,12th Pass,"Rsÿ7,30,28,848","Rsÿ1,63,90,000"
,,,,,~ 7ÿCrore+,~ 1ÿCrore+
Akshay Yadav,FIROZABAD,SP,0,Graduate,"Rsÿ10,08,83,304","Rsÿ59,377"
,,,,,~ 10ÿCrore+,~ 59ÿThou+
Sher Singh Ghubaya,FIROZPUR,SAD,0,10th Pass,"Rsÿ9,61,21,057","Rsÿ51,33,876"
,,,,,~ 9ÿCrore+,~ 51ÿLacs+
Ashok Mahadeorao Nete,GADCHIROLI-CHIMUR,BJP,0,12th Pass,"Rsÿ1,21,25,676","Rsÿ58,30,550"
,,,,,~ 1ÿCrore+,~ 58ÿLacs+
Lal Krishna Advani,GANDHINAGAR,BJP,1,Graduate Professional,"Rsÿ7,59,15,276",Rsÿ0
,,,,,~ 7ÿCrore+,~ 
Nihalchand,GANGANAGAR,BJP,0,Graduate,"Rsÿ1,08,61,172","Rsÿ16,11,557"
,,,,,~ 1ÿCrore+,~ 16ÿLacs+
(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),GARHWAL,BJP,0,Graduate Professional,"Rsÿ4,43,57,368",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Smt. Bijoya Chakraborty,GAUHATI,BJP,0,Post Graduate,"Rsÿ1,25,74,493",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Mahesh Sharma,GAUTAM BUDHHA NAGAR,BJP,0,Graduate Professional,"Rsÿ47,37,97,545","Rsÿ4,09,05,738"
,,,,,~ 47ÿCrore+,~ 4ÿCrore+
Hari Manjhi,GAYA,BJP,1,8th Pass,"Rsÿ1,01,84,120","Rsÿ20,00,000"
,,,,,~ 1ÿCrore+,~ 20ÿLacs+
Deepak Adhikari (Dev),GHATAL,AITC,0,10th Pass,"Rsÿ15,24,47,159","Rsÿ1,74,93,227"
,,,,,~ 15ÿCrore+,~ 1ÿCrore+
Vijay Kumar Singh,GHAZIABAD,BJP,2,Doctorate,"Rsÿ4,11,37,044","Rsÿ20,26,774"
,,,,,~ 4ÿCrore+,~ 20ÿLacs+
Manoj Sinha,GHAZIPUR,BJP,0,Graduate Professional,"Rsÿ2,33,76,901","Rsÿ1,18,700"
,,,,,~ 2ÿCrore+,~ 1ÿLacs+
Harinarayan Rajbhar,GHOSI,BJP,0,Literate,"Rsÿ2,34,03,964",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Ravindra Kumar Pandey,GIRIDIH,BJP,0,Graduate,"Rsÿ7,33,76,970","Rsÿ19,70,628"
,,,,,~ 7ÿCrore+,~ 19ÿLacs+
Nishikant Dubey,GODDA,BJP,5,Post Graduate,"Rsÿ15,56,33,719",Rsÿ0
,,,,,~ 15ÿCrore+,~ 
Kirti Vardhan Singh,GONDA,BJP,0,Post Graduate,"Rsÿ7,47,38,429","Rsÿ92,75,782"
,,,,,~ 7ÿCrore+,~ 92ÿLacs+
Janak Ram,GOPALGANJ,BJP,2,Post Graduate,"Rsÿ1,05,82,664","Rsÿ10,39,000"
,,,,,~ 1ÿCrore+,~ 10ÿLacs+
Adityanath,GORAKHPUR,BJP,3,Graduate,"Rsÿ72,17,674",Rsÿ0
,,,,,~ 72ÿLacs+,~ 
Mallikarjun Kharge,GULBARGA,INC,0,Graduate Professional,"Rsÿ10,22,20,880","Rsÿ74,10,154"
,,,,,~ 10ÿCrore+,~ 74ÿLacs+
Jyotiraditya M. Scindia,GUNA,INC,0,Post Graduate,"Rsÿ33,08,88,751","Rsÿ7,95,000"
,,,,,~ 33ÿCrore+,~ 7ÿLacs+
Jayadev Galla,GUNTUR,TDP,0,Graduate,"Rsÿ6,83,05,81,361","Rsÿ20,23,34,283"
,,,,,~ 683ÿCrore+,~ 20ÿCrore+
Vinod Khanna,GURDASPUR,BJP,0,Graduate,"Rsÿ66,93,43,376","Rsÿ1,26,95,306"
,,,,,~ 66ÿCrore+,~ 1ÿCrore+
Inderjit Singh,GURGAON,BJP,0,Graduate Professional,"Rsÿ25,06,98,763",Rsÿ0
,,,,,~ 25ÿCrore+,~ 
Narendra Singh Tomar,GWALIOR,BJP,1,Graduate,"Rsÿ1,14,12,622","Rsÿ45,31,444"
,,,,,~ 1ÿCrore+,~ 45ÿLacs+
Ram Vilas Paswan,HAJIPUR,LJP,2,Post Graduate,"Rsÿ96,42,023",Rsÿ0
,,,,,~ 96ÿLacs+,~ 
Anurag Singh Thakur,HAMIRPUR,BJP,10,Graduate,"Rsÿ4,65,35,803","Rsÿ20,74,555"
,,,,,~ 4ÿCrore+,~ 20ÿLacs+
Kunwar Pushpendra Singh,HAMIRPUR,BJP,1,Post Graduate,"Rsÿ7,12,65,181","Rsÿ28,25,539"
,,,,,~ 7ÿCrore+,~ 28ÿLacs+
Anshul Verma,HARDOI,BJP,0,Post Graduate,"Rsÿ3,03,85,000",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Ramesh Pokhariyal Nishank,HARDWAR,BJP,1,Doctorate,"Rsÿ1,79,17,274","Rsÿ18,60,684"
,,,,,~ 1ÿCrore+,~ 18ÿLacs+
H.D. Devegowda,HASSAN,JD(S),0,Others,"Rsÿ4,27,21,242","Rsÿ86,48,283"
,,,,,~ 4ÿCrore+,~ 86ÿLacs+
Rajesh Kumar,HATHRAS,BJP,0,Graduate Professional,"Rsÿ56,51,457",Rsÿ0
,,,,,~ 56ÿLacs+,~ 
Raju Shetty,HATKANANGLE,Swabhimani Paksha,12,10th Pass,"Rsÿ98,96,221","Rsÿ15,04,152"
,,,,,~ 98ÿLacs+,~ 15ÿLacs+
Udasi Shivakumar Channabasappa,HAVERI,BJP,0,Graduate,"Rsÿ57,66,93,538","Rsÿ5,44,23,645"
,,,,,~ 57ÿCrore+,~ 5ÿCrore+
Jayant Sinha,HAZARIBAGH,BJP,0,Post Graduate,"Rsÿ55,67,54,579","Rsÿ8,63,80,600"
,,,,,~ 55ÿCrore+,~ 8ÿCrore+
Kristappa Nimmala,HINDUPUR,TDP,2,Graduate,"Rsÿ3,57,93,637","Rsÿ9,98,480"
,,,,,~ 3ÿCrore+,~ 9ÿLacs+
Rajeev Shankarrao Satav,HINGOLI,INC,0,Graduate Professional,"Rsÿ4,96,81,499","Rsÿ5,84,357"
,,,,,~ 4ÿCrore+,~ 5ÿLacs+
Dushyant Chautala,HISAR,INLD,0,Graduate,"Rsÿ36,13,26,990","Rsÿ6,87,44,460"
,,,,,~ 36ÿCrore+,~ 6ÿCrore+
Ratna De,HOOGHLY,AITC,0,Graduate Professional,"Rsÿ1,86,17,757",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Uday Pratap Singh,HOSHANGABAD,BJP,1,Graduate,"Rsÿ13,33,75,092","Rsÿ37,75,714"
,,,,,~ 13ÿCrore+,~ 37ÿLacs+
Vijay Sampla,HOSHIARPUR,BJP,0,10th Pass,"Rsÿ1,51,64,322","Rsÿ40,20,543"
,,,,,~ 1ÿCrore+,~ 40ÿLacs+
Prasun Banerjee,HOWRAH,AITC,0,Graduate,"Rsÿ1,00,41,098",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Asaduddin Owaisi,HYDERABAD,All India Majlis-E-Ittehadul Muslimeen,4,Graduate Professional,"Rsÿ4,06,11,099","Rsÿ1,40,00,000"
,,,,,~ 4ÿCrore+,~ 1ÿCrore+
Adv.Joice George,IDUKKI,IND,4,Post Graduate,"Rsÿ1,73,96,207","Rsÿ94,17,720"
,,,,,~ 1ÿCrore+,~ 94ÿLacs+
Sumitra Mahajan,INDORE,BJP,0,Post Graduate,"Rsÿ1,87,32,234","Rsÿ35,39,000"
,,,,,~ 1ÿCrore+,~ 35ÿLacs+
Dr. Thokchom Meinya,INNER MANIPUR,INC,0,Doctorate,"Rsÿ38,25,200",Rsÿ0
,,,,,~ 38ÿLacs+,~ 
Rakesh Singh Urf Ghanshyam Singh,JABALPUR,BJP,1,Graduate,"Rsÿ2,65,64,889",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Sugata Bose,JADAVPUR,AITC,0,Doctorate,"Rsÿ4,63,15,770",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Kulamani Samal,JAGATSINGHPUR,BJD,0,Graduate Professional,"Rsÿ2,51,58,570",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Dr. Arun Kumar,JAHANABAD,Rashtriya Lok Samta Party,1,Doctorate,"Rsÿ3,88,46,631","Rsÿ10,00,000"
,,,,,~ 3ÿCrore+,~ 10ÿLacs+
Ramcharan Bohara,JAIPUR,BJP,0,12th Pass,"Rsÿ13,58,09,546","Rsÿ2,38,71,000"
,,,,,~ 13ÿCrore+,~ 2ÿCrore+
Rajyavardhan Singh Rathore,JAIPUR RURAL,BJP,0,Graduate,"Rsÿ8,37,34,044","Rsÿ1,17,065"
,,,,,~ 8ÿCrore+,~ 1ÿLacs+
Rita Tarai,JAJPUR,BJD,0,12th Pass,"Rsÿ16,22,003",Rsÿ0
,,,,,~ 16ÿLacs+,~ 
Santokh Singh Chaudhary,JALANDHAR,INC,0,Graduate Professional,"Rsÿ10,40,40,531","Rsÿ61,94,323"
,,,,,~ 10ÿCrore+,~ 61ÿLacs+
Bhanu Pratap Singh,JALAUN,BJP,0,Post Graduate,"Rsÿ57,74,068","Rsÿ6,50,000"
,,,,,~ 57ÿLacs+,~ 6ÿLacs+
Patil Ashok Tapiram,JALGAON,BJP,0,Graduate,"Rsÿ22,61,80,395",Rsÿ0
,,,,,~ 22ÿCrore+,~ 
Danve Raosaheb Dadarao,JALNA,BJP,4,Graduate,"Rsÿ18,44,11,862","Rsÿ85,34,130"
,,,,,~ 18ÿCrore+,~ 85ÿLacs+
Devji Patel,JALORE,BJP,0,10th Pass,"Rsÿ5,18,46,777","Rsÿ1,27,80,726"
,,,,,~ 5ÿCrore+,~ 1ÿCrore+
Bijoy Chandra Barman,JALPAIGURI,AITC,0,Post Graduate,"Rsÿ93,96,430","Rsÿ7,97,019"
,,,,,~ 93ÿLacs+,~ 7ÿLacs+
Jugal Kishore,JAMMU,BJP,0,10th Pass,"Rsÿ2,68,24,308","Rsÿ3,00,000"
,,,,,~ 2ÿCrore+,~ 3ÿLacs+
Maadam Poonamben Hematbhai,JAMNAGAR,BJP,0,Graduate,"Rsÿ17,43,72,249","Rsÿ6,28,24,615"
,,,,,~ 17ÿCrore+,~ 6ÿCrore+
Bidyut Baran Mahato,JAMSHEDPUR,BJP,8,12th Pass,"Rsÿ1,60,27,526","Rsÿ7,15,347"
,,,,,~ 1ÿCrore+,~ 7ÿLacs+
Chirag Kumar Paswan,JAMUI,LJP,0,12th Pass,"Rsÿ1,04,14,470","Rsÿ44,58,954"
,,,,,~ 1ÿCrore+,~ 44ÿLacs+
Abhijit Mukherjee,JANGIPUR,INC,0,Graduate Professional,"Rsÿ6,30,14,502","Rsÿ1,51,60,000"
,,,,,~ 6ÿCrore+,~ 1ÿCrore+
Smt. Kamla Patle,JANJGIR-CHAMPA,BJP,0,12th Pass,"Rsÿ1,82,24,350",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Krishna Pratap,JAUNPUR,BJP,0,Doctorate,"Rsÿ4,06,56,909","Rsÿ46,73,939"
,,,,,~ 4ÿCrore+,~ 46ÿLacs+
Pratima Mondal,JAYNAGAR,AITC,0,Post Graduate,"Rsÿ1,06,14,252",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Dushyant,JHALAWAR-BARAN,BJP,0,Post Graduate,"Rsÿ23,90,06,838","Rsÿ27,98,782"
,,,,,~ 23ÿCrore+,~ 27ÿLacs+
Birendra Kumar Chaudhary,JHANJHARPUR,BJP,0,Post Graduate,"Rsÿ51,58,792",Rsÿ0
,,,,,~ 51ÿLacs+,~ 
Uma Bharti,JHANSI,BJP,13,5th Pass,"Rsÿ1,43,76,218",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Uma Saren,JHARGRAM,AITC,0,Graduate Professional,"Rsÿ4,99,646",Rsÿ0
,,,,,~ 4ÿLacs+,~ 
Santosh Ahlawat,JHUNJHUNU,BJP,0,Post Graduate,"Rsÿ3,58,97,048","Rsÿ57,04,000"
,,,,,~ 3ÿCrore+,~ 57ÿLacs+
Gajendrasingh Shekhawat,JODHPUR,BJP,0,Post Graduate,"Rsÿ14,34,91,494","Rsÿ9,21,98,588"
,,,,,~ 14ÿCrore+,~ 9ÿCrore+
Kamakhya Prasad Tasa,JORHAT,BJP,0,Post Graduate,"Rsÿ16,94,785",Rsÿ0
,,,,,~ 16ÿLacs+,~ 
Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP,1,12th Pass,"Rsÿ74,46,059","Rsÿ11,10,690"
,,,,,~ 74ÿLacs+,~ 11ÿLacs+
Chavda Vinod Lakhmashi,KACHCHH,BJP,0,Graduate Professional,"Rsÿ56,18,643","Rsÿ4,11,255"
,,,,,~ 56ÿLacs+,~ 4ÿLacs+
Avinash Reddy Yeduguri Sandinti,KADAPA,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,"Rsÿ7,04,80,623","Rsÿ55,47,296"
,,,,,~ 7ÿCrore+,~ 55ÿLacs+
Hukum Singh,KAIRANA,BJP,2,Graduate Professional,"Rsÿ2,90,78,847","Rsÿ29,41,671"
,,,,,~ 2ÿCrore+,~ 29ÿLacs+
Brij Bhusan Sharan Singh,KAISERGANJ,BJP,2,Graduate Professional,"Rsÿ6,16,96,767","Rsÿ1,15,56,027"
,,,,,~ 6ÿCrore+,~ 1ÿCrore+
Thota Venkata Narasimham,KAKINADA,TDP,0,Graduate,"Rsÿ1,74,95,976","Rsÿ1,20,000"
,,,,,~ 1ÿCrore+,~ 1ÿLacs+
Arka Keshari Deo,KALAHANDI,BJD,0,Graduate,"Rsÿ6,98,22,063","Rsÿ8,31,688"
,,,,,~ 6ÿCrore+,~ 8ÿLacs+
Gourav Gogoi,KALIABOR,INC,0,Post Graduate,"Rsÿ54,73,199","Rsÿ10,42,133"
,,,,,~ 54ÿLacs+,~ 10ÿLacs+
K. Kamaraj,KALLAKURICHI,AIADMK,0,Post Graduate,"Rsÿ3,54,59,256","Rsÿ5,44,099"
,,,,,~ 3ÿCrore+,~ 5ÿLacs+
Dr.Shrikant Eknath Shinde,KALYAN,SHS,0,Graduate Professional,"Rsÿ9,98,000",Rsÿ0
,,,,,~ 9ÿLacs+,~ 
Maragatham K,KANCHEEPURAM,AIADMK,0,12th Pass,"Rsÿ1,89,49,050","Rsÿ44,68,600"
,,,,,~ 1ÿCrore+,~ 44ÿLacs+
Hemendra Chandra Singh,KANDHAMAL,BJD,2,Graduate,"Rsÿ50,39,07,437","Rsÿ47,86,551"
,,,,,~ 50ÿCrore+,~ 47ÿLacs+
Shanta Kumar,KANGRA,BJP,0,Graduate Professional,"Rsÿ1,98,52,104",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Vikram Usendi,KANKER,BJP,0,10th Pass,"Rsÿ2,33,76,000","Rsÿ8,69,000"
,,,,,~ 2ÿCrore+,~ 8ÿLacs+
Dimple Yadav,KANNAUJ,SP,0,Graduate,"Rsÿ28,05,16,418","Rsÿ69,17,710"
,,,,,~ 28ÿCrore+,~ 69ÿLacs+
Radhakrishnan P.,KANNIYAKUMARI,BJP,0,Graduate Professional,"Rsÿ4,09,63,269",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
P K Sreemathi,KANNUR,CPI(M),8,Others,"Rsÿ1,69,39,970",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Dr.Murli Manohar Joshi,KANPUR,BJP,1,Doctorate,"Rsÿ7,84,10,008",Rsÿ0
,,,,,~ 7ÿCrore+,~ 
Sisir Kumar Adhikari,KANTHI,AITC,1,12th Pass,"Rsÿ1,94,98,381",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Upendra Kushwaha,KARAKAT,Rashtriya Lok Samta Party,4,Post Graduate,"Rsÿ2,48,29,741","Rsÿ8,23,834"
,,,,,~ 2ÿCrore+,~ 8ÿLacs+
Manoj Rajoria,KARAULI-DHOLPUR,BJP,0,Post Graduate,"Rsÿ2,86,36,113","Rsÿ32,77,324"
,,,,,~ 2ÿCrore+,~ 32ÿLacs+
Radheshyam Biswas,KARIMGANJ,AIUDF,0,12th Pass,"Rsÿ70,68,281",Rsÿ0
,,,,,~ 70ÿLacs+,~ 
Vinod Kumar Boinapally,KARIMNAGAR,TRS,0,Graduate Professional,"Rsÿ9,72,75,990",Rsÿ0
,,,,,~ 9ÿCrore+,~ 
Ashwini Kumar,KARNAL,BJP,6,Graduate,"Rsÿ69,86,38,135","Rsÿ15,39,37,858"
,,,,,~ 69ÿCrore+,~ 15ÿCrore+
Thambidurai.M,KARUR,AIADMK,2,Doctorate,"Rsÿ13,24,57,262","Rsÿ5,14,81,886"
,,,,,~ 13ÿCrore+,~ 5ÿCrore+
P Karunakaran,KASARAGOD,CPI(M),6,Post Graduate,"Rsÿ59,00,345",Rsÿ0
,,,,,~ 59ÿLacs+,~ 
Shah Tariq Anwar,KATIHAR,NCP,1,Graduate,"Rsÿ10,46,00,951","Rsÿ2,04,54,853"
,,,,,~ 10ÿCrore+,~ 2ÿCrore+
Vinod Kumar,KAUSHAMBI,BJP,0,Graduate,"Rsÿ2,70,91,681","Rsÿ1,09,32,227"
,,,,,~ 2ÿCrore+,~ 1ÿCrore+
Sri Baijayant Panda,KENDRAPARA,BJD,0,Graduate Professional,"Rsÿ31,24,32,726","Rsÿ3,00,000"
,,,,,~ 31ÿCrore+,~ 3ÿLacs+
Sakuntala Laguri,KEONJHAR,BJD,0,10th Pass,"Rsÿ10,15,31,625",Rsÿ0
,,,,,~ 10ÿCrore+,~ 
Ranjit Singh Brahmpura,KHADOOR SAHIB,SAD,0,8th Pass,"Rsÿ17,78,14,755","Rsÿ42,00,000"
,,,,,~ 17ÿCrore+,~ 42ÿLacs+
Choudhary Mahboob Ali Kaiser,KHAGARIA,LJP,1,Graduate,"Rsÿ6,65,69,502",Rsÿ0
,,,,,~ 6ÿCrore+,~ 
Nagendra Singh,KHAJURAHO,BJP,0,Graduate,"Rsÿ4,45,38,002",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Ponguleti Srinivasa Reddy,KHAMMAM,Yuvajana Sramika Rythu Congress Party,0,12th Pass,"Rsÿ34,61,50,516","Rsÿ12,40,000"
,,,,,~ 34ÿCrore+,~ 12ÿLacs+
Nandkumar Singh Chouhan,KHANDWA,BJP,0,Post Graduate,"Rsÿ4,01,88,989","Rsÿ95,61,188"
,,,,,~ 4ÿCrore+,~ 95ÿLacs+
Subhash Patel,KHARGONE,BJP,0,Post Graduate,"Rsÿ3,61,38,699","Rsÿ23,00,000"
,,,,,~ 3ÿCrore+,~ 23ÿLacs+
Chauhan Devusinh Jesingbhai,KHEDA,BJP,0,12th Pass,"Rsÿ94,26,376","Rsÿ10,47,919"
,,,,,~ 94ÿLacs+,~ 10ÿLacs+
Ajay Kumar,KHERI,BJP,2,Graduate Professional,"Rsÿ2,65,05,977","Rsÿ1,00,00,000"
,,,,,~ 2ÿCrore+,~ 1ÿCrore+
Karia Munda,KHUNTI,BJP,0,Post Graduate,"Rsÿ74,74,796",Rsÿ0
,,,,,~ 74ÿLacs+,~ 
Mohammad Asrarul Haque,KISHANGANJ,INC,2,Post Graduate,"Rsÿ46,16,629",Rsÿ0
,,,,,~ 46ÿLacs+,~ 
Ravindra Kumar Ray,KODARMA,BJP,0,Doctorate,"Rsÿ1,05,64,046","Rsÿ2,00,000"
,,,,,~ 1ÿCrore+,~ 2ÿLacs+
Naba Kumar Sarania,KOKRAJHAR,IND,3,12th Pass,"Rsÿ21,55,559",Rsÿ0
,,,,,~ 21ÿLacs+,~ 
K H Muniyappa,KOLAR,INC,0,Graduate Professional,"Rsÿ18,46,63,000","Rsÿ2,78,63,000"
,,,,,~ 18ÿCrore+,~ 2ÿCrore+
Dhananjay Bhimrao Mahadik,KOLHAPUR,NCP,1,Graduate,"Rsÿ44,88,82,000","Rsÿ7,13,33,000"
,,,,,~ 44ÿCrore+,~ 7ÿCrore+
Subrata Bakshi,KOLKATA DAKSHIN,AITC,0,Graduate Professional,"Rsÿ1,02,65,428","Rsÿ1,68,891"
,,,,,~ 1ÿCrore+,~ 1ÿLacs+
Sudip Bandyopadhyay,KOLKATA UTTAR,AITC,1,Graduate,"Rsÿ2,20,86,278","Rsÿ4,50,000"
,,,,,~ 2ÿCrore+,~ 4ÿLacs+
N.K.Premachandran,KOLLAM,RSP,1,Graduate Professional,"Rsÿ1,62,28,989","Rsÿ31,14,638"
,,,,,~ 1ÿCrore+,~ 31ÿLacs+
Sanganna A. Karadi,KOPPAL,BJP,1,10th Pass,"Rsÿ1,21,27,000","Rsÿ68,48,000"
,,,,,~ 1ÿCrore+,~ 68ÿLacs+
Jhina Hikaka,KORAPUT,BJD,0,Post Graduate,"Rsÿ88,00,000",Rsÿ0
,,,,,~ 88ÿLacs+,~ 
Dr. Banshilal Mahato,KORBA,BJP,0,Graduate Professional,"Rsÿ7,23,03,762","Rsÿ3,82,905"
,,,,,~ 7ÿCrore+,~ 3ÿLacs+
Om Birla,KOTA,BJP,2,Post Graduate,"Rsÿ2,58,70,497","Rsÿ9,97,366"
,,,,,~ 2ÿCrore+,~ 9ÿLacs+
Jose K Mani,KOTTAYAM,KC(M),0,Post Graduate,"Rsÿ2,62,36,371",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
M .K Raghavan,KOZHIKODE,INC,0,Graduate,"Rsÿ61,64,901","Rsÿ15,58,128"
,,,,,~ 61ÿLacs+,~ 15ÿLacs+
Ashok Kumar.K,KRISHNAGIRI,AIADMK,3,10th Pass,"Rsÿ11,76,436",Rsÿ0
,,,,,~ 11ÿLacs+,~ 
Tapas Paul,KRISHNANAGAR,AITC,4,Graduate,"Rsÿ2,78,29,669",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Butta Renuka,KURNOOL,Yuvajana Sramika Rythu Congress Party,1,10th Pass,"Rsÿ2,42,62,40,513","Rsÿ31,22,79,927"
,,,,,~ 242ÿCrore+,~ 31ÿCrore+
Rajkumar Saini,KURUKSHETRA,BJP,0,Graduate,"Rsÿ13,28,80,476","Rsÿ2,32,62,108"
,,,,,~ 13ÿCrore+,~ 2ÿCrore+
Rajesh Pandey Urf Guddu,KUSHI NAGAR,BJP,0,Graduate,"Rsÿ11,04,07,014","Rsÿ11,07,357"
,,,,,~ 11ÿCrore+,~ 11ÿLacs+
Thupstan Chhewang,LADAKH,BJP,0,Graduate Professional,"Rsÿ1,98,52,701","Rsÿ80,000"
,,,,,~ 1ÿCrore+,~ 80ÿThou+
Sarbananda Sonowal,LAKHIMPUR,BJP,0,Graduate Professional,"Rsÿ1,44,97,515",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Mohammed Faizal.P.P,LAKSHADWEEP,NCP,3,Post Graduate,"Rsÿ5,38,119",Rsÿ0
,,,,,~ 5ÿLacs+,~ 
Neelam,LALGANJ,BJP,1,Post Graduate,"Rsÿ3,38,63,562","Rsÿ26,31,312"
,,,,,~ 3ÿCrore+,~ 26ÿLacs+
Gaikwad Sunil Baliram,LATUR,BJP,0,Doctorate,"Rsÿ1,74,63,251",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Sudarshan Bhagat,LOHARDAGA,BJP,0,Graduate,"Rsÿ90,31,009","Rsÿ1,78,967"
,,,,,~ 90ÿLacs+,~ 1ÿLacs+
Raj Nath Singh,LUCKNOW,BJP,0,Post Graduate,"Rsÿ2,92,40,729",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Ravneet Singh Bittu,LUDHIANA,INC,0,12th Pass,"Rsÿ3,15,09,170","Rsÿ1,92,000"
,,,,,~ 3ÿCrore+,~ 1ÿLacs+
Ram Charitra Nishad,MACHHLISHAHR,BJP,0,12th Pass,"Rsÿ86,41,278",Rsÿ0
,,,,,~ 86ÿLacs+,~ 
Konakalla Narayana Rao,MACHILIPATNAM,TDP,0,12th Pass,"Rsÿ3,48,50,000","Rsÿ98,00,000"
,,,,,~ 3ÿCrore+,~ 98ÿLacs+
Mohite Patil Vijaysinh Shankarrao,MADHA,NCP,1,10th Pass,"Rsÿ17,02,53,390","Rsÿ97,74,791"
,,,,,~ 17ÿCrore+,~ 97ÿLacs+
Rajesh Ranjan Urf Pappu Yadav,MADHEPURA,RJD,24,Graduate,"Rsÿ8,12,42,966","Rsÿ9,56,306"
