Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
Kothapalli Geetha,ARAKU,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,"Rsÿ6,51,47,467","Rsÿ4,32,61,606"
,,,,,~ 6ÿCrore+,~ 4ÿCrore+
Aparupa Poddar (Afrin Ali),ARAMBAG,AITC,0,Post Graduate,"Rsÿ32,71,869","Rsÿ2,00,000"
,,,,,~ 32ÿLacs+,~ 2ÿLacs+
V.Elumalai,ARANI,AIADMK,0,Graduate Professional,"Rsÿ7,04,92,462","Rsÿ25,000"
,,,,,~ 7ÿCrore+,~ 25ÿThou+
Taslim Uddin,ARARIA,RJD,4,Literate,"Rsÿ4,23,68,468","Rsÿ10,26,919"
,,,,,~ 4ÿCrore+,~ 10ÿLacs+
Raj Kumar Singh,ARRAH,BJP,0,Graduate Professional,"Rsÿ4,84,03,293",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Ninong Ering,ARUNACHAL EAST,INC,0,Graduate,"Rsÿ8,80,65,000",Rsÿ0
,,,,,~ 8ÿCrore+,~ 
Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,"Rsÿ1,25,39,868","Rsÿ4,75,000"
,,,,,~ 1ÿCrore+,~ 4ÿLacs+
Babul Supriya Boral (Babul Supriyo),ASANSOL,BJP,0,Graduate,"Rsÿ7,52,89,537","Rsÿ1,47,48,456"
,,,,,~ 7ÿCrore+,~ 1ÿCrore+
Ladu Kishore Swain,ASKA,BJD,0,Graduate,"Rsÿ34,88,390","Rsÿ25,000"
,,,,,~ 34ÿLacs+,~ 25ÿThou+
A Sampath,ATTINGAL,CPI(M),1,Doctorate,"Rsÿ1,77,91,149","Rsÿ14,21,392"
,,,,,~ 1ÿCrore+,~ 14ÿLacs+
Sushil Kumar Singh,AURANGABAD,BJP,5,Post Graduate,"Rsÿ12,78,45,854","Rsÿ73,21,626"
,,,,,~ 12ÿCrore+,~ 73ÿLacs+
Chandrakant Bhaurao Khaire,AURANGABAD,SHS,8,12th Pass,"Rsÿ9,06,14,560","Rsÿ2,03,07,244"
,,,,,~ 9ÿCrore+,~ 2ÿCrore+
Biren Singh Engti,AUTONOMOUS DISTRICT,INC,0,Post Graduate,"Rsÿ3,53,67,390",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Mulayam Singh Yadav,AZAMGARH,SP,0,Post Graduate,"Rsÿ15,96,71,544",Rsÿ0
,,,,,~ 15ÿCrore+,~ 
Dharmandra Yadav,BADAUN,SP,0,Post Graduate,"Rsÿ2,49,87,715","Rsÿ89,50,291"
,,,,,~ 2ÿCrore+,~ 89ÿLacs+
P.C. Gaddigoudar,BAGALKOT,BJP,0,Graduate Professional,"Rsÿ3,63,62,500","Rsÿ95,89,199"
,,,,,~ 3ÿCrore+,~ 95ÿLacs+
Dr. Satyapal Singh,BAGHPAT,BJP,0,Doctorate,"Rsÿ6,74,02,076","Rsÿ3,52,000"
,,,,,~ 6ÿCrore+,~ 3ÿLacs+
Adhir Ranjan Chowdhury,BAHARAMPUR,INC,16,10th Pass,"Rsÿ8,14,65,854",Rsÿ0
,,,,,~ 8ÿCrore+,~ 
Savitri Bai Foole,BAHRAICH,BJP,8,Graduate,"Rsÿ11,21,491","Rsÿ5,38,145"
,,,,,~ 11ÿLacs+,~ 5ÿLacs+
Bodhsingh Bhagat,BALAGHAT,BJP,0,Graduate,"Rsÿ2,49,59,436","Rsÿ13,93,732"
,,,,,~ 2ÿCrore+,~ 13ÿLacs+
Rabindra Kumar Jena,BALASORE,BJD,0,Post Graduate,"Rsÿ57,01,39,716","Rsÿ5,58,93,020"
,,,,,~ 57ÿCrore+,~ 5ÿCrore+
Bharat Singh,BALLIA,BJP,3,Graduate,"Rsÿ2,11,30,089","Rsÿ11,02,553"
,,,,,~ 2ÿCrore+,~ 11ÿLacs+
Arpita Ghosh,BALURGHAT,AITC,0,Graduate,"Rsÿ5,44,790",Rsÿ0
,,,,,~ 5ÿLacs+,~ 
Chaudhry Haribhai Parthibhai,BANASKANTHA,BJP,0,Graduate,"Rsÿ1,57,73,564",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Bhairon Prasad Mishra,BANDA,BJP,3,12th Pass,"Rsÿ5,00,34,910","Rsÿ6,00,000"
,,,,,~ 5ÿCrore+,~ 6ÿLacs+
P.C. Mohan,BANGALORE CENTRAL,BJP,2,12th Pass,"Rsÿ47,57,96,999","Rsÿ26,11,11,285"
,,,,,~ 47ÿCrore+,~ 26ÿCrore+
D.V. Sadananda Gowda,BANGALORE NORTH,BJP,0,Graduate Professional,"Rsÿ9,88,88,874","Rsÿ3,70,20,152"
,,,,,~ 9ÿCrore+,~ 3ÿCrore+
D.K.Suresh,BANGALORE RURAL,INC,8,12th Pass,"Rsÿ85,87,13,138","Rsÿ18,48,54,756"
,,,,,~ 85ÿCrore+,~ 18ÿCrore+
Ananth Kumar,BANGALORE SOUTH,BJP,0,Graduate Professional,"Rsÿ4,52,24,706","Rsÿ28,83,233"
,,,,,~ 4ÿCrore+,~ 28ÿLacs+
Kapil Krishna Thakur,BANGAON,AITC,0,Graduate,"Rsÿ96,67,890",Rsÿ0
,,,,,~ 96ÿLacs+,~ 
Jaiprakash Narayan Yadav,BANKA,RJD,2,Post Graduate,"Rsÿ2,78,46,274","Rsÿ7,91,539"
,,,,,~ 2ÿCrore+,~ 7ÿLacs+
Sreemati Dev Varma (Moon Moon Sen),BANKURA,AITC,0,Post Graduate,"Rsÿ1,53,14,000","Rsÿ10,13,000"
,,,,,~ 1ÿCrore+,~ 10ÿLacs+
Kamlesh Paswan,BANSGAON,BJP,0,Graduate,"Rsÿ10,16,40,625","Rsÿ1,45,68,500"
,,,,,~ 10ÿCrore+,~ 1ÿCrore+
Manshankar Ninama,BANSWARA,BJP,0,8th Pass,"Rsÿ40,40,285","Rsÿ8,70,146"
