Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Tenkasi,SC,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,73.70%,F,CPI,3.11,Vasanthi.M,0,Post Graduate,24014922,0,52,7.33
Tezpur,GEN,Assam,BJP,77.90%,M,AGP,4.28,Ram Prasad Sarmah,0,Graduate Professional,6655300,0,58,4.59
Thane,GEN,Maharashtra,Shiv Sena,50.80%,M,NCP,8.78,Vichare Rajan Baburao,13,10th Pass,102091612,13054217,52,3.99
Thanjavur,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,75.50%,M,DMK,3.11,Parasuraman.K,0,12th Pass,146049347,27954352,53,7.33
Theni,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,74.60%,M,INC,3.11,"Parthipan, R.",0,Graduate,22047681,869650,50,7.33
Thiruvallur,SC,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,73.70%,M,ADMK,3.11,Venugopal.P.(DR),,Others,,,61,7.33
Thiruvananthapuram,GEN,Kerala,INC,68.60%,M,INC,18.41,Dr. Shashi Tharoor,0,Doctorate,230275186,0,58,4.39
Thoothukkudi,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,70.00%,M,DMK,3.11,Jeyasingh Thiyagaraj Natterjee.J,0,Post Graduate,9822294,0,60,7.33
Thrissur,GEN,Kerala,Communist Party Of India,72.20%,M,INC,18.41,C. N. Jayadevan,3,Post Graduate,20041642,294000,63,4.39
Tikamgarh,SC,Madhya Pradesh,BJP,50.10%,M,BJP,2.15,Dr. Virendra Kumar,0,Doctorate,8764635,0,60,23.28
Tiruchirappalli,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,71.20%,M,ADMK,3.11,Kumar.P,0,Graduate Professional,18522597,1917891,42,7.33
Tirunelveli,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,67.80%,M,INC,3.11,Prabakaran.K.R.P,0,Graduate Professional,2764500,0,33,7.33
Tirupati,SC,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,77.00%,M,INC,2.44,Varaprasad Rao Velagapalli,0,Doctorate,129128388,3132962,61,6.15
Tiruppur,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,76.30%,F,ADMK,3.11,V.Sathyabama,2,Post Graduate,28108573,2475755,42,7.33
Tiruvannamalai,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,78.90%,F,DMK,3.11,Vanaroja R,0,Post Graduate,3700000,0,55,7.33
Tonk-Sawai Madhopur,GEN,Rajasthan,BJP,61.00%,M,INC,3.55,Sukhbir Singh Jaunapuria,0,12th Pass,714124612,0,56,0.22
Tripura East,ST,Tripura,Communist Party Of India (MARXIST),83.40%,M,CPM,2.75,Jitendra Choudhury,0,12th Pass,11322979,2030773,57,5.14
Tripura West,GEN,Tripura,Communist Party Of India (MARXIST),85.90%,M,CPM,2.75,Sankar Prasad Datta,1,Post Graduate,1320900,0,56,5.14
Tumkur,GEN,Karnataka,INC,72.50%,M,BJP,2.12,Muddahanumegowda.S.P.,0,Graduate Professional,30273812,0,59,1.25
Tura,ST,Meghalaya,National People's Party,78.10%,M,NCP,11.93,Purno Agitok Sangma,0,Post Graduate,215134618,0,66,5.07
Udaipur,ST,Rajasthan,BJP,65.60%,M,INC,3.55,Arjunlal Meena,0,Post Graduate,17049951,8195866,49,0.22
Udhampur,GEN,Jammu & Kashmir,BJP,69.90%,M,INC,1.18,Dr. Jitendra Singh,0,Graduate Professional,38464932,11881,57,4.97
Udupi Chikmagalur,GEN,Karnataka,BJP,74.50%,F,BJP,2.12,Shobha Karandlaje,0,Post Graduate,72089452,38119792,47,1.25
Ujiarpur,GEN,Bihar,BJP,60.10%,M,JD(U),11.53,Nityanand Rai,1,Graduate,146743540,3965423,48,-10.06
Ujjain,SC,Madhya Pradesh,BJP,66.60%,M,INC,2.15,Prof. Chintamani Malviya,0,Doctorate,18888754,5483153,44,23.28
Uluberia,GEN,West Bengal,All India Trinamool Congress,81.90%,M,AITC,8.74,Sultan Ahmed,0,Graduate,22792936,10878739,58,5.38
Unnao,GEN,Uttar Pradesh,BJP,55.50%,M,INC,0.36,Swami Sachchidanand Hari Sakshi,8,Doctorate,32137597,0,58,2.59
Uttara Kannada,GEN,Karnataka,BJP,69.00%,M,BJP,2.12,Anantkumar Hegde,0,12th Pass,32367360,15139611,46,1.25
Vadakara,GEN,Kerala,INC,81.10%,M,INC,18.41,Mullappally Ramachandran,0,Post Graduate,9225000,2160000,67,4.39
Vadodara,GEN,Gujarat,BJP,70.90%,M,BJP,7.12,Narendra Modi,0,Post Graduate,15157582,0,63,-6.96
Vaishali,GEN,Bihar,Lok Jan Shakti Party,58.30%,M,RJD,11.53,Rama Kishore Singh,4,Graduate,21610218,3323006,51,-10.06
Valmiki Nagar,GEN,Bihar,BJP,61.80%,M,JD(U),11.53,Satish Chandra Dubey,3,10th Pass,6061576,626789,39,-10.06
Valsad,ST,Gujarat,BJP,74.20%,M,INC,7.12,Dr. K.C.Patel,0,Graduate Professional,131141867,2381344,65,-6.96
Varanasi,GEN,Uttar Pradesh,BJP,58.30%,M,BJP,0.36,Narendra Modi,0,Post Graduate,16591582,0,63,2.59
Vellore,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,74.30%,M,DMK,3.11,"Senguttuvan, B.",0,Post Graduate,9197355,440478,57,7.33
Vidisha,GEN,Madhya Pradesh,BJP,65.70%,F,BJP,2.15,Sushma Swaraj,0,Graduate Professional,175516422,6500000,62,23.28
Vijayawada,GEN,Andhra Pradesh,Telugu Desam,76.40%,M,INC,2.44,Kesineni Srinivas,3,10th Pass,1284122669,715462989,48,6.15
Viluppuram,SC,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,77.00%,M,ADMK,3.11,Rajendran S,0,Graduate,6200000,2371331,57,7.33
Virudhunagar,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,74.90%,M,INC,3.11,Radhakrishnan T,0,10th Pass,43736485,5273447,59,7.33
Visakhapatnam,GEN,Andhra Pradesh,BJP,67.50%,M,INC,2.44,Kambhampati Hari Babu,0,Doctorate,90103580,1854856,60,6.15
Vizianagaram,GEN,Andhra Pradesh,Telugu Desam,79.80%,M,INC,2.44,Ashok Gajapathi Raju Pusapati,0,10th Pass,39054905,0,62,6.15
Warangal,SC,Telangana,Telangana Rashtra Samithi,76.40%,M,INC,2.44,Kadiyam Srihari,6,Post Graduate,13495000,0,63,6.15
Wardha,GEN,Maharashtra,BJP,64.80%,M,INC,8.78,Ramdas Chandrabhanji Tadas,5,10th Pass,33628998,1749314,62,3.99
Wayanad,GEN,Kerala,INC,73.20%,M,INC,18.41,M I Shanavas,0,Post Graduate,27122055,7711000,62,4.39
West Delhi,GEN,Delhi,BJP,66.10%,M,INC,1.36,Parvesh Sahib Singh Verma,1,Post Graduate,107235461,26650000,36,3.21
Yavatmal-Washim,GEN,Maharashtra,Shiv Sena,59.30%,F,SHS,8.78,Gawali Bhavana Pundlikrao,4,Graduate,60886040,7368967,41,3.99
Zahirabad,GEN,Telangana,Telangana Rashtra Samithi,75.80%,M,INC,2.44,B.B. Patil,0,Graduate,1023173039,83517670,58,6.15
