Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Munger,GEN,Bihar,Lok Jan Shakti Party,53.90%,F,JD(U),11.53,Veena Devi,0,8th Pass,31162836,0,41,-10.06
Murshidabad,GEN,West Bengal,Communist Party Of India (MARXIST),85.20%,M,INC,8.74,Badaruddoza Khan,0,Graduate Professional,2758610,0,60,5.38
Muzaffarnagar,GEN,Uttar Pradesh,BJP,69.70%,M,BSP,0.36,(DR.) SANJEEV KUMAR BALYAN,1,Doctorate,10794222,3090803,41,2.59
Muzaffarpur,GEN,Bihar,BJP,61.20%,M,JD(U),11.53,Ajay Nishad,0,Graduate,145712654,989888,45,-10.06
Mysore,GEN,Karnataka,BJP,67.30%,M,INC,2.12,Prathap Simha,0,Post Graduate,6321591,4399048,37,1.25
Nabarangpur,ST,Orissa,Biju Janata Dal,78.80%,M,INC,5.74,Balabhadra Majhi,0,Graduate,52977088,705404,53,-3.25
Nagaland,ST,Nagaland,Naga Peoples Front,87.80%,M,NPF,7.72,Neiphiu Rio,0,Graduate,315834264,0,63,4
Nagapattinam,SC,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,77.80%,M,DMK,3.11,Gopal. Dr. K,0,Graduate Professional,19074709,13629120,54,7.33
Nagarkurnool,SC,Telangana,INC,75.10%,M,INC,2.44,Yellaiah Nandi,0,12th Pass,7048969,0,71,6.15
Nagaur,GEN,Rajasthan,BJP,59.80%,M,INC,3.55,C R Choudhary,0,Post Graduate,17921949,0,66,0.22
Nagina,SC,Uttar Pradesh,BJP,63.10%,M,SP,0.36,Yashwant Singh,0,Post Graduate,34806740,0,52,2.59
Nagpur,GEN,Maharashtra,BJP,57.10%,M,INC,8.78,Gadkari Nitin Jairam,4,Graduate Professional,153704475,19004037,56,3.99
Nainital-Udhamsingh Nagar,GEN,Uttarakhand,BJP,68.40%,M,INC,6.3,Bhagat Singh Koshyari,0,Post Graduate,5562704,0,72,4.12
Nalanda,GEN,Bihar,Janata Dal (United),47.20%,M,JD(U),11.53,Kaushlendra Kumar,0,12th Pass,11812717,477000,49,-10.06
Nalgonda,GEN,Telangana,INC,79.50%,M,INC,2.44,Gutha Sukhender Reddy,1,12th Pass,85907866,10103677,60,6.15
