Candidate,Constituency ?,Party,Criminal Case,Education,Total Assets,Liabilities
,,,,,~ 2ÿCrore+,~ 15ÿLacs+
AKHILESH YADAV,Firozabad,SP,0,Graduate Professional,"Rsÿ4,44,09,557","Rsÿ77,26,354"
,,,,,~ 4ÿCrore+,~ 77ÿLacs+
SHER SINGH GHUBAYA,Firozpur,SAD,0,10th Pass,"Rsÿ3,19,69,676","Rsÿ36,98,744"
,,,,,~ 3ÿCrore+,~ 36ÿLacs+
KOWASE MAROTRAO SAINUJI,Gadchiroli-Chimur,INC,0,Graduate,"Rsÿ1,07,76,756","Rsÿ5,00,000"
,,,,,~ 1ÿCrore+,~ 5ÿLacs+
LALKRISHNA KISHANCHAND ADVANI,Gandhinagar,BJP,1,Graduate Professional,"Rsÿ3,55,43,172",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
BHARAT RAM MEGHWAL,Ganganagar,INC,0,Graduate Professional,"Rsÿ50,16,000","Rsÿ4,00,000"
,,,,,~ 50ÿLacs+,~ 4ÿLacs+
SATPAL MAHARAJ,Garhwal,INC,0,12th Pass,"Rsÿ11,21,36,795",Rsÿ0
,,,,,~ 11ÿCrore+,~ 
BIJOYA CHAKRAVARTY,Gauhati,BJP,0,Post Graduate,"Rsÿ18,70,000",Rsÿ0
,,,,,~ 18ÿLacs+,~ 
SURENDRA SINGH NAGAR,Gautam Budhha Nagar,BSP,2,Graduate,"Rsÿ49,20,84,300",Rsÿ0
,,,,,~ 49ÿCrore+,~ 
Hari Manjhi,Gaya,BJP,0,8th Pass,"Rsÿ14,71,374","Rsÿ3,89,075"
,,,,,~ 14ÿLacs+,~ 3ÿLacs+
Gurudas Dasgupta,Ghatal,CPI,0,Post Graduate,"Rsÿ36,54,001",Rsÿ0
,,,,,~ 36ÿLacs+,~ 
RAJNATH SINGH,Ghaziabad,BJP,1,Post Graduate,"Rsÿ1,49,02,703",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
RADHEY MOHAN SINGH,Ghazipur,SP,1,Graduate,"Rsÿ2,20,62,609","Rsÿ17,52,447"
,,,,,~ 2ÿCrore+,~ 17ÿLacs+
DARA SINGH CHAUHAN,Ghosi,BSP,2,10th Pass,"Rsÿ20,44,115","Rsÿ9,27,848"
,,,,,~ 20ÿLacs+,~ 9ÿLacs+
RAVINDRA KUMAR PANDEY,Giridih,BJP,1,Graduate,"Rsÿ3,27,22,762","Rsÿ33,17,725"
,,,,,~ 3ÿCrore+,~ 33ÿLacs+
NISHIKANT DUBEY,Godda,BJP,0,Post Graduate,"Rsÿ10,10,37,987",Rsÿ0
,,,,,~ 10ÿCrore+,~ 
BENI PRASAD VERMA,Gonda,INC,0,Graduate Professional,"Rsÿ2,01,83,574","Rsÿ80,932"
,,,,,~ 2ÿCrore+,~ 80ÿThou+
PURNAMASI RAM,Gopalganj,JD(U),1,10th Pass,"Rsÿ34,21,562","Rsÿ5,33,024"
,,,,,~ 34ÿLacs+,~ 5ÿLacs+
ADITYA NATH,Gorakhpur,BJP,2,Graduate,"Rsÿ21,82,212",Rsÿ0
,,,,,~ 21ÿLacs+,~ 
Mallikarjun Kharge,Gulbarga,INC,0,Graduate Professional,"Rsÿ5,06,46,533","Rsÿ55,08,946"
,,,,,~ 5ÿCrore+,~ 55ÿLacs+
JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,0,Post Graduate,"Rsÿ14,90,94,212",Rsÿ0
,,,,,~ 14ÿCrore+,~ 
SAMBASIVA RAO RAYAPATI,Guntur,INC,3,Graduate,"Rsÿ14,71,43,582","Rsÿ4,52,04,329"
,,,,,~ 14ÿCrore+,~ 4ÿCrore+
PARTAP SINGH BAJWA,Gurdaspur,INC,0,Graduate,"Rsÿ6,80,53,249","Rsÿ1,00,000"
,,,,,~ 6ÿCrore+,~ 1ÿLacs+
INDERJIT SINGH,Gurgaon,INC,0,Graduate Professional,"Rsÿ6,73,83,257","Rsÿ96,692"
,,,,,~ 6ÿCrore+,~ 96ÿThou+
RAM SUNDAR DAS,Hajipur,JD(U),0,10th Pass,"Rsÿ27,96,489","Rsÿ11,16,705"
,,,,,~ 27ÿLacs+,~ 11ÿLacs+
ANURAG SINGH THAKUR,Hamirpur,BJP,0,Graduate,"Rsÿ2,41,50,103","Rsÿ25,04,550"
,,,,,~ 2ÿCrore+,~ 25ÿLacs+
VIJAY BAHADUR SINGH,Hamirpur,BSP,0,Graduate Professional,"Rsÿ4,29,56,873","Rsÿ6,23,689"
,,,,,~ 4ÿCrore+,~ 6ÿLacs+
USHA VERMA,Hardoi,SP,0,Post Graduate,"Rsÿ1,01,11,699","Rsÿ5,00,000"
,,,,,~ 1ÿCrore+,~ 5ÿLacs+
HARISH RAWAT,Hardwar,INC,1,Graduate Professional,"Rsÿ1,18,25,335",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
H. D. Devegowda,Hassan,JD(S),0,Others,"Rsÿ1,96,24,664","Rsÿ64,99,000"
,,,,,~ 1ÿCrore+,~ 64ÿLacs+
SARIKA SINGH,Hathras,RLD,0,Post Graduate,"Rsÿ8,25,272",Rsÿ0
,,,,,~ 8ÿLacs+,~ 
SHETTI RAJU ALIAS DEVAPPA ANNA,Hatkanangle,SWP,0,10th Pass,"Rsÿ22,53,785","Rsÿ1,04,341"
,,,,,~ 22ÿLacs+,~ 1ÿLacs+
SHIVAKUMAR CHANNABASAPPA UDASI,Haveri,BJP,0,Graduate,"Rsÿ32,33,61,935","Rsÿ3,38,33,437"
,,,,,~ 32ÿCrore+,~ 3ÿCrore+
YASHWANT SINHA,Hazaribagh,BJP,1,Post Graduate,"Rsÿ3,65,76,217",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
KRISTAPPA NIMMALA,Hindupur,TDP,0,Graduate,"Rsÿ1,59,17,465","Rsÿ12,16,390"
,,,,,~ 1ÿCrore+,~ 12ÿLacs+
SUBHASH BAPURAO WANKHEDE,Hingoli,SHS,4,10th Pass,"Rsÿ34,88,000","Rsÿ4,84,000"
,,,,,~ 34ÿLacs+,~ 4ÿLacs+
BHAJAN LAL,Hisar,HJC(BL),0,12th Pass,"Rsÿ6,51,13,381","Rsÿ73,54,075"
,,,,,~ 6ÿCrore+,~ 73ÿLacs+
RATNA DE,Hooghly,AITC,0,Graduate Professional,"Rsÿ87,30,448",Rsÿ0
,,,,,~ 87ÿLacs+,~ 
SANTOSH CHOWDHARY,Hoshiarpur,INC,0,Graduate Professional,"Rsÿ2,68,16,253",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
AMBICA BANERJEE,Howrah,AITC,1,Graduate Professional,"Rsÿ6,29,26,674","Rsÿ72,33,333"
,,,,,~ 6ÿCrore+,~ 72ÿLacs+
Asaduddin Owaisi,Hyderabad,AIMIM,4,Graduate Professional,"Rsÿ93,02,233",Rsÿ0
,,,,,~ 93ÿLacs+,~ 
Adv P T Thomas,Idukki,INC,0,Post Graduate,"Rsÿ39,84,094","Rsÿ4,48,284"
,,,,,~ 39ÿLacs+,~ 4ÿLacs+
SUMITRA MAHAJAN (TAI),Indore,BJP,0,Post Graduate,"Rsÿ79,74,006","Rsÿ44,29,400"
,,,,,~ 79ÿLacs+,~ 44ÿLacs+
DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,"Rsÿ16,39,200",Rsÿ0
,,,,,~ 16ÿLacs+,~ 
RAKESH SINGH,Jabalpur,BJP,0,Graduate,"Rsÿ92,31,699","Rsÿ10,545"
,,,,,~ 92ÿLacs+,~ 10ÿThou+
KABIR SUMAN,Jadavpur,AITC,0,Graduate,"Rsÿ32,06,685",Rsÿ0
,,,,,~ 32ÿLacs+,~ 
Bibhu Prasad Tarai,Jagatsinghpur,CPI,0,Post Graduate,"Rsÿ44,60,251","Rsÿ43,000"
,,,,,~ 44ÿLacs+,~ 43ÿThou+
MAHESH JOSHI,Jaipur,INC,0,Doctorate,"Rsÿ1,03,88,500","Rsÿ12,45,000"
,,,,,~ 1ÿCrore+,~ 12ÿLacs+
LAL CHAND KATARIA,Jaipur Rural,INC,0,10th Pass,"Rsÿ3,06,50,401","Rsÿ7,02,835"
,,,,,~ 3ÿCrore+,~ 7ÿLacs+
Mohan Jena,Jajpur,BJD,0,Post Graduate,"Rsÿ30,46,404",Rsÿ0
,,,,,~ 30ÿLacs+,~ 
MOHINDER SINGH KAYPEE,Jalandhar,INC,0,Graduate Professional,"Rsÿ4,81,96,591","Rsÿ1,25,000"
,,,,,~ 4ÿCrore+,~ 1ÿLacs+
GHANSYAM ANURAGI,Jalaun,SP,2,Post Graduate,"Rsÿ63,50,833",Rsÿ0
,,,,,~ 63ÿLacs+,~ 
A.T. NANA PATIL,Jalgaon,BJP,0,Graduate,"Rsÿ10,38,39,607","Rsÿ92,00,000"
,,,,,~ 10ÿCrore+,~ 92ÿLacs+
DANVE RAOSAHEB DADARAO,Jalna,BJP,3,12th Pass,"Rsÿ2,42,71,518","Rsÿ5,30,771"
,,,,,~ 2ÿCrore+,~ 5ÿLacs+
DEV JI PATEL,Jalore,BJP,0,10th Pass,"Rsÿ1,12,61,830",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Mahendra Kumar Roy,Jalpaiguri,CPM,0,Graduate Professional,"Rsÿ28,78,591",Rsÿ0
,,,,,~ 28ÿLacs+,~ 
MADAN LAL SHARMA,Jammu,INC,1,10th Pass,"Rsÿ1,18,82,734","Rsÿ1,49,750"
,,,,,~ 1ÿCrore+,~ 1ÿLacs+
VIKRAMBHAI ARJANBHAI MADAM,Jamnagar,INC,0,Graduate,"Rsÿ1,55,90,109","Rsÿ4,00,000"
,,,,,~ 1ÿCrore+,~ 4ÿLacs+
ARJUN MUNDA,Jamshedpur,BJP,2,Graduate Professional,"Rsÿ1,23,84,895","Rsÿ1,76,069"
,,,,,~ 1ÿCrore+,~ 1ÿLacs+
BHUDEO CHOUDHARY,Jamui,JD(U),0,Graduate Professional,"Rsÿ40,79,000","Rsÿ2,89,192"
,,,,,~ 40ÿLacs+,~ 2ÿLacs+
PRANAB MUKHERJEE,Jangipur,INC,0,Doctorate,"Rsÿ2,69,20,479",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Kamaladevi Patale,Janjgir-Champa,BJP,0,12th Pass,"Rsÿ35,56,426","Rsÿ80,000"
,,,,,~ 35ÿLacs+,~ 80ÿThou+
DHANANJAY SINGH,Jaunpur,BSP,1,Post Graduate,"Rsÿ43,62,656","Rsÿ6,78,982"
,,,,,~ 43ÿLacs+,~ 6ÿLacs+
DR. TARUN MONDAL,Jaynagar,IND,0,Graduate Professional,"Rsÿ18,56,636","Rsÿ5,600"
,,,,,~ 18ÿLacs+,~ 5ÿThou+
DUSHYANT SINGH,Jhalawar-Baran,BJP,0,Post Graduate,"Rsÿ6,41,10,900","Rsÿ27,79,153"
,,,,,~ 6ÿCrore+,~ 27ÿLacs+
MANGANI LAL MANDAL,Jhanjharpur,JD(U),2,Post Graduate,"Rsÿ53,98,803","Rsÿ17,09,884"
,,,,,~ 53ÿLacs+,~ 17ÿLacs+
PRADEEP KUMAR JAIN,Jhansi,INC,2,Post Graduate,"Rsÿ33,43,719",Rsÿ0
,,,,,~ 33ÿLacs+,~ 
Pulin Bihari Baske,Jhargram,CPM,0,Graduate Professional,"Rsÿ14,84,298",Rsÿ0
,,,,,~ 14ÿLacs+,~ 
CHANDRESH KUMARI,Jodhpur,INC,0,12th Pass,"Rsÿ13,28,81,067","Rsÿ60,744"
,,,,,~ 13ÿCrore+,~ 60ÿThou+
BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,"Rsÿ1,54,28,123",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
DINUBHAI BOGHABHAI SOLANKI,Junagadh,BJP,1,Graduate,"Rsÿ1,94,60,865","Rsÿ59,45,896"
,,,,,~ 1ÿCrore+,~ 59ÿLacs+
POONAMBEN VELJIBHAI JAT,Kachchh,BJP,1,12th Pass,"Rsÿ5,24,126",Rsÿ0
,,,,,~ 5ÿLacs+,~ 
Y.S. Jagan Mohan Reddy,Kadapa,INC,0,Graduate,"Rsÿ72,81,51,658","Rsÿ6,63,96,966"
,,,,,~ 72ÿCrore+,~ 6ÿCrore+
TABASSUM BEGAM,Kairana,BSP,0,10th Pass,"Rsÿ1,16,67,328",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
BRIJBHUSHAN SARAN SINGH,Kaiserganj,SP,2,Graduate Professional,"Rsÿ5,35,37,885",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
M M Pallamraju,Kakinada,INC,0,Post Graduate,"Rsÿ6,55,89,882","Rsÿ11,12,763"
,,,,,~ 6ÿCrore+,~ 11ÿLacs+
Bhakta Charan Das,Kalahandi,INC,4,Graduate Professional,"Rsÿ55,82,100","Rsÿ20,61,217"
,,,,,~ 55ÿLacs+,~ 20ÿLacs+
DIP GOGOI,Kaliabor,INC,0,Graduate,"Rsÿ25,39,058",Rsÿ0
,,,,,~ 25ÿLacs+,~ 
SANKAR ADHI,Kallakurichi,DMK,1,Graduate Professional,"Rsÿ1,78,37,266","Rsÿ9,86,068"
,,,,,~ 1ÿCrore+,~ 9ÿLacs+
ANAND PRAKASH PARANJAPE,Kalyan,SHS,1,Post Graduate,"Rsÿ1,19,98,220","Rsÿ38,71,225"
,,,,,~ 1ÿCrore+,~ 38ÿLacs+
VISWANATHAN.P,Kancheepuram,INC,0,Graduate,"Rsÿ56,85,495","Rsÿ22,46,494"
,,,,,~ 56ÿLacs+,~ 22ÿLacs+
Rudra Madhab Ray,Kandhamal,BJD,0,Graduate,"Rsÿ43,87,647","Rsÿ5,66,588"
,,,,,~ 43ÿLacs+,~ 5ÿLacs+
DR. RAJAN SUSHANT,Kangra,BJP,0,Graduate Professional,"Rsÿ1,10,24,873","Rsÿ24,88,285"
,,,,,~ 1ÿCrore+,~ 24ÿLacs+
Sohan Potai,Kanker,BJP,0,Post Graduate,"Rsÿ82,61,296",Rsÿ0
,,,,,~ 82ÿLacs+,~ 
AKHILESH YADAV,Kannauj,SP,0,Graduate Professional,"Rsÿ4,85,82,202","Rsÿ77,26,354"
,,,,,~ 4ÿCrore+,~ 77ÿLacs+
HELEN DAVIDSON J,Kanniyakumari,DMK,0,Post Graduate,"Rsÿ4,84,55,728","Rsÿ21,23,538"
,,,,,~ 4ÿCrore+,~ 21ÿLacs+
K Sudhakaran Kavinte Arikathu,Kannur,INC,3,Post Graduate,"Rsÿ73,59,040","Rsÿ6,00,000"
,,,,,~ 73ÿLacs+,~ 6ÿLacs+
SRI PRAKASH JAISWAL,Kanpur,INC,0,12th Pass,"Rsÿ3,07,67,980",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
ADHIKARI SISIR KUMAR,Kanthi,AITC,1,12th Pass,"Rsÿ10,83,159",Rsÿ0
,,,,,~ 10ÿLacs+,~ 
Mahabali Singh,Karakat,JD(U),3,8th Pass,"Rsÿ61,94,257",Rsÿ0
,,,,,~ 61ÿLacs+,~ 
KHILADI LAL BAIRWA,Karauli-Dholpur,INC,0,Graduate,"Rsÿ6,28,02,340","Rsÿ56,93,479"
,,,,,~ 6ÿCrore+,~ 56ÿLacs+
Lalit Mohan Suklabaidya,Karimganj,INC,0,Post Graduate,"Rsÿ46,44,049",Rsÿ0
,,,,,~ 46ÿLacs+,~ 
Ponnam Prabhakar,Karimnagar,INC,0,Graduate Professional,"Rsÿ12,87,000",Rsÿ0
,,,,,~ 12ÿLacs+,~ 
ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,"Rsÿ1,90,71,256",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
TAMBIDURAI.M,Karur,ADMK,2,Doctorate,"Rsÿ9,37,50,227",Rsÿ0
,,,,,~ 9ÿCrore+,~ 
P.Karunakaran,Kasaragod,CPM,12,Post Graduate,"Rsÿ1,78,23,645",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
NIKHIL KUMAR CHOUDHARY,Katihar,BJP,4,Graduate,"Rsÿ80,18,754","Rsÿ8,02,308"
,,,,,~ 80ÿLacs+,~ 8ÿLacs+
SHAILENDRA KUMAR,Kaushambi,SP,0,Graduate,"Rsÿ2,08,00,327",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Baijayant Panda,Kendrapara,BJD,0,Graduate Professional,"Rsÿ16,11,00,792","Rsÿ4,51,767"
,,,,,~ 16ÿCrore+,~ 4ÿLacs+
Yashbanta Narayan Singh Laguri,Keonjhar,BJD,6,Graduate,"Rsÿ5,75,000","Rsÿ1,50,00,000"
,,,,,~ 5ÿLacs+,~ 1ÿCrore+
DR. RATTAN SINGH AJNALA,Khadoor Sahib,SAD,1,Graduate Professional,"Rsÿ1,87,74,102",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
DINESH CHANDRA YADAV,Khagaria,JD(U),0,Others,"Rsÿ63,05,253","Rsÿ15,922"
,,,,,~ 63ÿLacs+,~ 15ÿThou+
JEETENDRA SINGH,Khajuraho,BJP,0,Post Graduate,"Rsÿ1,05,96,506",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Nama Nageswara Rao,Khammam,TDP,0,12th Pass,"Rsÿ1,73,75,08,117",Rsÿ0
,,,,,~ 173ÿCrore+,~ 
ARUN SUBHASHCHANDRA YADAV,Khandwa,INC,1,Graduate,"Rsÿ5,32,89,688","Rsÿ2,75,62,966"
,,,,,~ 5ÿCrore+,~ 2ÿCrore+
MAKNSINGH SOLANKI (BABUJI),Khargone,BJP,0,5th Pass,"Rsÿ58,38,265","Rsÿ2,04,826"
,,,,,~ 58ÿLacs+,~ 2ÿLacs+
DINSHA ZAVARBHAI PATEL,Kheda,INC,0,10th Pass,"Rsÿ2,30,65,019","Rsÿ34,80,352"
,,,,,~ 2ÿCrore+,~ 34ÿLacs+
ZAFAR ALI NAQVI,Kheri,INC,0,Graduate Professional,"Rsÿ39,79,881",Rsÿ0
,,,,,~ 39ÿLacs+,~ 
KARIYA MUNDA,Khunti,BJP,0,Post Graduate,"Rsÿ59,89,638","Rsÿ1,33,125"
,,,,,~ 59ÿLacs+,~ 1ÿLacs+
MOHAMMAD ASRARUL HAQUE,Kishanganj,INC,0,Post Graduate,"Rsÿ36,46,860",Rsÿ0
,,,,,~ 36ÿLacs+,~ 
Babu Lal Marandi,Kodarma,JVM(P),1,Graduate,"Rsÿ21,37,675",Rsÿ0
,,,,,~ 21ÿLacs+,~ 
SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,BPF,0,Graduate,"Rsÿ49,54,903","Rsÿ4,64,860"
,,,,,~ 49ÿLacs+,~ 4ÿLacs+
K.H.Muniyappa,Kolar,INC,0,Graduate Professional,"Rsÿ5,19,21,402","Rsÿ2,10,19,510"
,,,,,~ 5ÿCrore+,~ 2ÿCrore+
SADASHIVRAO MANDLIK DADOBA,Kolhapur,IND,0,Graduate,"Rsÿ1,15,52,012",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
MAMATA BANERJEE,Kolkata Dakshin,AITC,0,Post Graduate,"Rsÿ4,73,194",Rsÿ0
,,,,,~ 4ÿLacs+,~ 
SUDIP BANDYOPADHYAY,Kolkata Uttar,AITC,0,Graduate,"Rsÿ41,87,479","Rsÿ1,96,283"
,,,,,~ 41ÿLacs+,~ 1ÿLacs+
N Peethambarakurup,Kollam,INC,2,Graduate,"Rsÿ28,10,132",Rsÿ0
,,,,,~ 28ÿLacs+,~ 
Shivaramgouda,Koppal,BJP,0,Graduate Professional,"Rsÿ1,45,18,988","Rsÿ30,78,847"
,,,,,~ 1ÿCrore+,~ 30ÿLacs+
Jayaram Pangi,Koraput,BJD,0,10th Pass,"Rsÿ61,82,372",Rsÿ0
,,,,,~ 61ÿLacs+,~ 
Charandas Mahant,Korba,INC,0,Doctorate,"Rsÿ4,27,04,354","Rsÿ16,43,424"
,,,,,~ 4ÿCrore+,~ 16ÿLacs+
IJYARAJ SINGH,Kota,INC,0,Post Graduate,"Rsÿ18,01,31,144",Rsÿ0
,,,,,~ 18ÿCrore+,~ 
Jose K Mani,Kottayam,KEC(M),0,Post Graduate,"Rsÿ96,51,729",Rsÿ0
,,,,,~ 96ÿLacs+,~ 
M K Raghavan,Kozhikode,INC,0,Graduate,"Rsÿ14,09,694","Rsÿ10,55,000"
,,,,,~ 14ÿLacs+,~ 10ÿLacs+
SUGAVANAM. E.G.,Krishnagiri,DMK,3,12th Pass,"Rsÿ1,69,74,157","Rsÿ5,00,000"
,,,,,~ 1ÿCrore+,~ 5ÿLacs+
TAPAS PAUL,Krishnanagar,AITC,5,Graduate,"Rsÿ96,14,227",Rsÿ0
,,,,,~ 96ÿLacs+,~ 
KOTLA JAYA SURYA PRAKASH REDDY,Kurnool,INC,0,Graduate,"Rsÿ5,37,19,195","Rsÿ30,34,000"
,,,,,~ 5ÿCrore+,~ 30ÿLacs+
NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,"Rsÿ1,31,07,30,000",Rsÿ0
,,,,,~ 131ÿCrore+,~ 
KU. RATANJEET PRATAP NARAYAN SINGH,Kushi Nagar,INC,0,Graduate,"Rsÿ3,99,75,893","Rsÿ1,00,000"
,,,,,~ 3ÿCrore+,~ 1ÿLacs+
HASSAN KHAN,Ladakh,IND,0,Graduate,"Rsÿ60,65,000",Rsÿ0
,,,,,~ 60ÿLacs+,~ 
RANEE NARAH,Lakhimpur,INC,1,Graduate,"Rsÿ5,39,76,290",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
Muhammed Hamdulla Sayeed A.B.,Lakshadweep,INC,0,Graduate Professional,"Rsÿ2,09,77,767",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
DR. BALIRAM,Lalganj,BSP,0,Doctorate,"Rsÿ80,03,036","Rsÿ6,38,922"
,,,,,~ 80ÿLacs+,~ 6ÿLacs+
AAWALE JAYWANT GANGARAM,Latur,INC,1,10th Pass,"Rsÿ3,04,85,766",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Sudershan Bhagat,Lohardaga,BJP,0,Graduate,"Rsÿ30,93,207","Rsÿ2,36,750"
,,,,,~ 30ÿLacs+,~ 2ÿLacs+
LAL JI TANDON,Lucknow,BJP,0,Graduate,"Rsÿ2,17,00,160",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
MANISH TEWARI,Ludhiana,INC,0,Graduate Professional,"Rsÿ2,99,41,543",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
TUFANI SAROJ,Machhlishahr,SP,0,Graduate,"Rsÿ53,36,133",Rsÿ0
,,,,,~ 53ÿLacs+,~ 
Konakalla Narayana Rao,Machilipatnam,TDP,0,12th Pass,"Rsÿ86,16,000","Rsÿ37,87,000"
,,,,,~ 86ÿLacs+,~ 37ÿLacs+
PAWAR SHARADCHANDRA GOVINDRAO,Madha,NCP,0,10th Pass,"Rsÿ8,72,38,434",Rsÿ0
,,,,,~ 8ÿCrore+,~ 
SHARAD YADAV,Madhepura,JD(U),1,Graduate Professional,"Rsÿ1,41,07,050",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
HUKM DEO NARAYAN YADAV,Madhubani,BJP,0,Graduate,"Rsÿ2,50,12,430","Rsÿ2,64,033"
,,,,,~ 2ÿCrore+,~ 2ÿLacs+
ALAGIRI M.K,Madurai,DMK,0,Graduate,"Rsÿ19,39,78,895",Rsÿ0
,,,,,~ 19ÿCrore+,~ 
P. BALRAM,Mahabubabad,INC,0,Graduate,"Rsÿ1,71,95,194","Rsÿ1,41,22,000"
,,,,,~ 1ÿCrore+,~ 1ÿCrore+
Uma Shanaker Singh,Maharajganj,RJD,2,10th Pass,"Rsÿ1,01,45,601","Rsÿ4,50,000"
,,,,,~ 1ÿCrore+,~ 4ÿLacs+
Chandulal Sahu (Chandu Bhaiya),Mahasamund,BJP,0,Graduate Professional,"Rsÿ68,05,000","Rsÿ13,00,000"
,,,,,~ 68ÿLacs+,~ 13ÿLacs+
K. CHANDRASEKHARA RAO,Mahbubnagar,TRS,2,Graduate,"Rsÿ2,26,69,420",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
JAYSHREEBEN KANUBHAI PATEL,Mahesana,BJP,0,10th Pass,"Rsÿ33,43,068","Rsÿ2,63,528"
,,,,,~ 33ÿLacs+,~ 2ÿLacs+
MULAYAM SINGH YADAV,Mainpuri,SP,0,Post Graduate,"Rsÿ2,23,99,310","Rsÿ42,000"
,,,,,~ 2ÿCrore+,~ 42ÿThou+
E Ahamed,Malappuram,MUL,0,Post Graduate,"Rsÿ38,87,709",Rsÿ0
,,,,,~ 38ÿLacs+,~ 
Abu Hasem Khan Choudhury,Maldaha Dakshin,INC,0,Doctorate,"Rsÿ87,82,797",Rsÿ0
,,,,,~ 87ÿLacs+,~ 
Mausam Noor,Maldaha Uttar,INC,0,Graduate Professional,"Rsÿ18,47,359","Rsÿ2,34,488"
,,,,,~ 18ÿLacs+,~ 2ÿLacs+
SARVEY SATYANARAYANA,Malkajgiri,INC,1,Graduate Professional,"Rsÿ1,01,12,521","Rsÿ1,16,848"
,,,,,~ 1ÿCrore+,~ 1ÿLacs+
VIRBHADRA SINGH,Mandi,INC,0,Post Graduate,"Rsÿ22,52,28,748","Rsÿ6,28,864"
,,,,,~ 22ÿCrore+,~ 6ÿLacs+
BASORI SINGH MASRAM,Mandla,INC,0,8th Pass,"Rsÿ36,21,178","Rsÿ3,50,000"
,,,,,~ 36ÿLacs+,~ 3ÿLacs+
MEENAKSHI NATRAJAN,Mandsour,INC,0,Post Graduate,"Rsÿ11,26,966",Rsÿ0
,,,,,~ 11ÿLacs+,~ 
N Chaluvarayaswamy,Mandya,JD(S),15,12th Pass,"Rsÿ5,41,68,804","Rsÿ41,25,000"
,,,,,~ 5ÿCrore+,~ 41ÿLacs+
RAMEN DEKA,Mangaldoi,BJP,0,Graduate,"Rsÿ75,79,967",Rsÿ0
,,,,,~ 75ÿLacs+,~ 
JAYANT K SINGH,Mathura,RLD,1,Post Graduate,"Rsÿ3,02,04,219","Rsÿ2,88,327"
,,,,,~ 3ÿCrore+,~ 2ÿLacs+
CHOUDHURY MOHAN JATUA,Mathurapur,AITC,0,Post Graduate,"Rsÿ25,85,000",Rsÿ0
,,,,,~ 25ÿLacs+,~ 
BABAR GAJANAN DHARMSHI,Maval,SHS,7,Literate,"Rsÿ6,78,31,434",Rsÿ0
,,,,,~ 6ÿCrore+,~ 
Kodikunnil Suresh,Mavelikkara,INC,4,Graduate Professional,"Rsÿ16,52,747","Rsÿ77,210"
,,,,,~ 16ÿLacs+,~ 77ÿThou+
MANIAN O.S,Mayiladuthurai,ADMK,1,12th Pass,"Rsÿ86,35,089","Rsÿ20,00,000"
,,,,,~ 86ÿLacs+,~ 20ÿLacs+
Laxman Tudu,Mayurbhanj,BJD,0,Graduate,"Rsÿ1,73,000","Rsÿ38,986"
,,,,,~ 1ÿLacs+,~ 38ÿThou+
VIJAYA SHANTHI .M,Medak,TRS,0,10th Pass,"Rsÿ27,10,66,905",Rsÿ0
,,,,,~ 27ÿCrore+,~ 
Prabodh Panda,Medinipur,CPI,0,Graduate,"Rsÿ22,30,746","Rsÿ3,62,156"
,,,,,~ 22ÿLacs+,~ 3ÿLacs+
RAJENDRA AGARWAL,Meerut,BJP,0,Post Graduate,"Rsÿ21,21,825","Rsÿ3,15,620"
,,,,,~ 21ÿLacs+,~ 3ÿLacs+
BAL KUMAR PATEL,Mirzapur,SP,10,12th Pass,"Rsÿ2,29,78,000","Rsÿ1,16,95,272"
,,,,,~ 2ÿCrore+,~ 1ÿCrore+
ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,"Rsÿ62,21,049","Rsÿ6,65,426"
,,,,,~ 62ÿLacs+,~ 6ÿLacs+
