,Candidate,Constituency..,Party,Criminal.Case,Education,Total.Assets,Liabilities,,,,
595,PATIL RUPATAI DILIPRAO NILANGEKAR,Latur,BJP,0,10th Pass,1960659,5585583,,,,
597,RAMESHWAR ORAON,Lohardaga,INC,0,Doctorate,9238423,364452,,,,
599,ATAL BIHARI VAJPAYEE,Lucknow,BJP,0,Post Graduate,5899232,0,,,,
601,SHARANJIT SINGH DHILLON,Ludhiana,SAD,1,Graduate Professional,9842137,1176489,,,,
603,UMAKANT YADAV,Machhlishahr,BSP,8,Post Graduate,28462566,0,,,,
605,BADIGA RAMAKRISHNA,Machilipatnam,INC,0,12th Pass,138545000,11559000,,,,
607,LALU PRASAD,Madhepura,RJD,7,Graduate Professional,8768340,22041400,,,,
609,DR. SHAKEEL AHMAD,Madhubani,INC,0,Graduate Professional,1859000,3.00E+05,,,,
611,DAYANIDHI MARAN,Madras Central,DMK,0,Graduate,14420628,0,,,,
613,KUPPUSAMI. C,Madras North,DMK,1,12th Pass,9537668,156696,,,,
615,"BAALU, T. R.",Madras South,DMK,0,Graduate,27444755,0,,,,
617,D. VITTAL RAO,Mahabubnagar,INC,0,Graduate,65075830,3.00E+06,,,,
619,PANKAJ,Maharajganj,BJP,0,12th Pass,14174401,473788,,,,
621,PRABHUNATH SINGH,Maharajganj,JD(U),11,12th Pass,3296840,530175,,,,
623,AJIT JOGI,Mahasamund,INC,2,Graduate Professional,8835009,0,,,,
625,INDERJIT SINGH,Mahendragarh,INC,0,Graduate Professional,55105874,1108417,,,,
627,MULAYAM SINGH YADAV,Mainpuri,SP,2,Post Graduate,11541224,41235,,,,
629,A. B. A. Ghani Khan Choudhury,Malda,INC,1,Graduate,4115704,4187744,,,,
631,HARISCHANDRA DEVRAM CHAVAN,Malegaon,BJP,0,Graduate,3312291,9033,,,,
633,PRATIBHA SINGH,Mandi,INC,0,Graduate,230288018,1542808,,,,
635,FAGGAN SINGH KULASTE,Mandla,BJP,0,Post Graduate,3091035,0,,,,
637,DR LAXMINARAYAN PANDEYA,Mandsaur,BJP,0,Post Graduate,2650506,726872,,,,
639,CHAUDHARY TUSHARBHAI AMARSINHBHAI,Mandvi,INC,0,Graduate Professional,1817815,400372,,,,
641,AMBAREESH M. H.,Mandya,INC,0,Not Given,7394819,321600,,,,
643,NARAYAN CHANDRA BORKATAKY,Mangaldoi,BJP,0,Graduate,5595818,301647,,,,
645,D. V. SADANANDA GOWDA,Mangalore,BJP,0,Graduate Professional,4639359,968423,,,,
647,T. K. HAMZA,Manjeri,CPM,0,Graduate Professional,780480,434704,,,,
649,MANVENDRA SINGH,Mathura,INC,0,12th Pass,15387530,281228,,,,
651,Basudeb Barman,Mathurapur,CPM,0,Post Graduate,2772156,0,,,,
653,C. S. SUJATHA,Mavelikara,CPM,4,Graduate Professional,669613,18000,,,,
655,MANI SHANKAR AIYAR,Mayiladuturai,INC,0,Post Graduate,19391699,380411,,,,
657,SUDAM MARNDI,Mayurbhanj,JMM,4,12th Pass,1780596,0,,,,
659,A. NARENDRA,Medak,TRS,0,Graduate,2020000,5.00E+05,,,,
661,MOHD. SHAHID,Meerut,BSP,0,5th Pass,15220720,121146,,,,
663,JIVABHAI AMBALAL PATEL,Mehsana,INC,0,10th Pass,34602412,0,,,,
665,Prabodh Panda,Midnapore,CPI,0,Graduate,1297328,0,,,,
667,JAIPAL REDDY SUDINI,Miryalguda,INC,0,Post Graduate,12264007,1546865,,,,
669,NARENDRA KUMAR KUSHWAHA,Mirzapur,BSP,0,12th Pass,7099,0,,,,
671,ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,1419108,326547,,,,
673,VANLALZAWMA,Mizoram,MNF,0,Post Graduate,2127713,0,,,,
675,JAI PRAKASH,Mohanlalganj,SP,0,Graduate,16583667,1883335,,,,
677,JAY PRAKASH NARAYAN YADAV,Monghyr,RJD,1,Post Graduate,1880178,172602,,,,
679,DR. SHAFIQURRAHMAN BARQ,Moradabad,SP,0,Graduate,1349151,0,,,,
681,ASHOK CHHAVIRAM ARGAL,Morena,BJP,2,12th Pass,3220504,432625,,,,
683,ALEMAO CHURCHIL BRAZ,Mormugao,INC,1,12th Pass,8675904,8172004,,,,
685,AKHILES PRASAD SINGH,Motihari,RJD,0,Post Graduate,3669358,0,,,,
687,LONAPPAN NAMBADAN,Mukundapuram,CPM,0,Others,1930115,0,,,,
689,GOVINDA,Mumbai North,INC,1,Graduate,145298405,2.50E+07,,,,
691,EKNATH M. GAIKWAD,Mumbai North Central,INC,0,10th Pass,2045861,0,,,,
693,KAMAT GURUDAS,Mumbai North East,INC,0,Graduate Professional,33894725,0,,,,
695,SUNIL DUTT,Mumbai North West,INC,1,Graduate,204321510,0,,,,
697,MOHAN RAWALE,Mumbai South Central,SHS,4,10th Pass,5589646,145918,,,,
699,P. C. THOMAS (PULLOLIL),Muvattupuzha,IFDP,0,Graduate Professional,6392358,1232410,,,,
701,CH. MUNAWWAR HASAN,Muzaffarnagar,SP,1,10th Pass,4217051,0,,,,
703,GEORGE FERNANDES,Muzaffarpur,JD(U),0,Others,33987410,0,,,,
705,C. H. VIJAYASHANKAR,Mysore,BJP,0,Graduate Professional,263999,21750,,,,
707,Alakesh Das,Nabadwip,CPM,0,Post Graduate,278876,18382,,,,
709,W. WANGYUH,Nagaland,NPF,0,Post Graduate,2147000,0,,,,
711,"VIJAYAN, A. K. S.",Nagapattinam,DMK,0,12th Pass,3191000,1013614,,,,
713,DR.MANDA JAGANNATH,Nagarkurnool,TDP,0,Post Graduate,6545314,2339000,,,,
715,BHANWAR SINGH DANGAWAS,Nagaur,BJP,0,12th Pass,1303714,0,,,,
717,BELLARMIN. A. V.,Nagercoil,CPM,0,Post Graduate,3076650,0,,,,
719,VILAS MUTTEMWAR,Nagpur,INC,0,Graduate,10020540,2898977,,,,
721,K. C. SINGH BABA,Nainital,INC,0,12th Pass,23708052,2906552,,,,
723,NITISH KUMAR,Nalanda,JD(U),0,Graduate,4389206,672674,,,,
725,SURAVARAM SUDHAKAR REDDY,Nalgonda,CPI,1,Graduate Professional,1990000,962600,,,,
727,S. P. Y. REDDY,Nandyal,INC,0,Graduate Professional,64646900,13374000,,,,
729,MEKAPATI RAJAMOHAN REDDY,Narasaraopet,INC,0,Graduate Professional,63961169,0,,,,
731,PINGALE DEVIDAS ANANDRAO,Nashik,NCP,1,10th Pass,19757718,5607433,,,,
733,VIRCHANDRA PASWAN,Nawada,RJD,0,Post Graduate,1797522,135728,,,,
735,PANABAKA LAKSHMI,Nellore,INC,0,Post Graduate,5395726,0,,,,
737,AJAY MAKAN,New Delhi,INC,1,Post Graduate,30234158,650000,,,,
739,PRABHU R.,Nilgiris,INC,0,Post Graduate,102440054,0,,,,
741,MADHU GOUD YASKHI,Nizamabad,INC,0,Post Graduate,142718537,32560000,,,,
743,RAJEN GOHAIN,Nowgong,BJP,0,Graduate Professional,3679236,336600,,,,
745,PARSURAM MAJHI,Nowrangpur,BJP,0,Graduate,767000,25000,,,,
747,SREENIVASULU REDDY MAGUNTA,Ongole,INC,2,Graduate,141768943,0,,,,
749,NARHIRE KALPANA RAMESH,Osmanabad,SHS,5,10th Pass,3234992,510681,,,,
751,S. AJAYA KUMAR,Ottapalam,CPM,3,12th Pass,1083876,780000,,,,
753,SAJJAN KUMAR,Outer Delhi,INC,1,Literate,1306055,520477,,,,
755,MANI CHARENAMEI,Outer Manipur,IND,0,Graduate,205000,0,,,,
757,BALESHWAR YADAV,Padrauna,National Loktantrik Party,0,Graduate,6907100,5.00E+05,,,,
759,MANOJ KUMAR,Palamau,RJD,0,Graduate,1825000,125000,,,,
761,N. N. KRISHNADAS,Palghat,CPM,4,Graduate,1503105,0,,,,
763,PUSP JAIN,Pali,BJP,0,Graduate Professional,1654429,222611,,,,
765,SHRIPAD YESSO NAIK,Panaji,BJP,0,Graduate,4537329,598785,,,,
767,ATHAWALE RAMDAS BANDU,Pandharpur,RPI(A),0,Graduate,2656172,0,,,,
769,Gurudas Dasgupta,Panskura,CPI,0,Post Graduate,3668778,0,,,,
771,TUKARAM GANPATRAO RENGE PATIL,Parbhani,SHS,13,Post Graduate,6060000,1950000,,,,
773,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,Parvathipuram,INC,0,Post Graduate,220678000,0,,,,
775,KANODIA MAHESHKUMAR MITHABHAI,Patan,BJP,0,Literate,11842032,803206,,,,
777,PRENEET KAUR,Patiala,INC,0,Graduate,412867297,0,,,,
779,RAM KRIPAL YADAV,Patna,RJD,0,Graduate,1400031,204942,,,,
781,G. VENKAT SWAMY,Peddapalli,INC,0,10th Pass,19464700,0,,,,
783,"RAJA, A.",Perambalur,DMK,0,Graduate Professional,5759538,1331049,,,,
785,AARON RASHID J. M.,Periyakulam,INC,0,10th Pass,152098686,2253320,,,,
787,CHARANJIT SINGH ATWAL,Phillaur,SAD,0,Graduate Professional,16469765,710013,,,,
789,SUGRIB SINGH,Phulbani,BJD,0,Graduate,869000,326000,,,,
791,ATIQUE AHAMAD,Phulpur,SP,36,8th Pass,33704071,0,,,,
793,MANEKA GANDHI,Pilibhit,BJP,0,12th Pass,66763700,0,,,,
795,"KRISHNAN, DR. C",Pollachi,MDMK,0,Graduate Professional,2686691,2.00E+05,,,,
797,RAMADASS. M.,Pondicherry,PMK,0,Doctorate,3217000,247304,,,,
799,PATEL HARILAL MADHAVJIBHAI (HARIBHAI PATEL),Porbandar,BJP,0,8th Pass,7041540,1738534,,,,
801,AKSHAY PRATAP SINGH (GOPAL JI),Pratapgarh,SP,26,Literate,2169847,0,,,,
803,"REGUPATHY, S.",Pudukkottai,DMK,2,Graduate Professional,15938121,1326075,,,,
805,KALMADI SURESH,Pune,INC,1,Graduate,39947625,1700000,,,,
807,BRAJA KISHORE TRIPATHY,Puri,BJD,0,Post Graduate,4197384,0,,,,
809,UDAY SINGH,Purnea,BJP,0,12th Pass,30654143,731440,,,,
811,Bir Singh Mahato,Purulia,AIFB,2,Post Graduate,1474102,314287,,,,
813,P. RAJENDRAN,Quilon,CPM,0,Post Graduate,2242499,227054,,,,
815,SONIA GANDHI,Rae Bareli,INC,0,Others,8568694,0,,,,
817,A.VENKATESH NAIK,Raichur,INC,0,12th Pass,5615514,447987,,,,
819,Priya Ranjan Dasmunsi,Raiganj,INC,0,Post Graduate,7504280,3.00E+06,,,,
821,VISHNUDEO SAI,Raigarh,BJP,0,12th Pass,899500,70546,,,,
823,RAMESH BAIS,Raipur,BJP,0,12th Pass,9690604,0,,,,
825,ARUNA KUMAR VUNDAVALLI,Rajahmundry,INC,2,Graduate Professional,23431318,881017,,,,
827,ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,9709190,1160909,,,,
829,SURESH PRABHAKAR PRABHU,Rajapur,SHS,1,Doctorate,4520169,0,,,,
831,LAKSHMAN SINGH,Rajgarh,BJP,0,Graduate,49014404,21893,,,,
833,DR. KATHIRIA VALLABHBHAI RAMJIBHAI,Rajkot,BJP,0,Graduate Professional,7971781,110729,,,,
835,HEMLAL MURMU,Rajmahal,JMM,1,Not Given,1680400,0,,,,
837,PRADEEP GANDHI,Rajnandgaon,BJP,0,Graduate,1699397,486000,,,,
839,BHAVANI RAJENTHIRAN. M. S. K.,Ramanathapuram,DMK,0,Post Graduate,15150840,5.00E+05,,,,
841,P. JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,84275000,3.00E+05,,,,
843,MOHITE SUBODH BABURAO,Ramtek,SHS,4,Graduate Professional,4472038,0,,,,
845,SUBODH KANT SAHAY,Ranchi,INC,0,Graduate,12291253,829561,,,,
847,RANI. K,Rasipuram,INC,1,Post Graduate,13775000,2077289,,,,
849,ANANT GEETE,Ratnagiri,SHS,0,12th Pass,5518754,1200000,,,,
851,CHANDRAMANI TRIPATHI,Rewa,BJP,1,Graduate Professional,1062399,40000,,,,
853,LALCHANDRA,Robertsganj,BSP,0,Literate,88030,165515,,,,
855,BHUPINDER SINGH,Rohtak,INC,1,Graduate Professional,9486571,457151,,,,
857,SUKHDEV SINGH LIBRA,Ropar,SAD,0,10th Pass,10332944,0,,,,
859,RAM CHANDRA PASWAN,Rosera,LJNSP,0,10th Pass,4204913,0,,,,
861,MADHUSUDAN MISTRY,Sabarkantha,INC,0,Post Graduate,1826173,125000,,,,
863,VIRENDRA KUMAR,Sagar,BJP,0,Post Graduate,1429786,0,,,,
865,RASHEED MASOOD,Saharanpur,SP,1,Post Graduate,26175490,3050977,,,,
867,RANJEET RANJAN,Saharsa,LJNSP,0,12th Pass,2549000,0,,,,
869,TUFANI SAROJ,Saidpur,SP,0,Graduate,4558332,0,,,,
871,THANGKABALU K. V.,Salem,INC,0,Post Graduate,56185835,0,,,,
873,HARIKEVAL PRASAD,Salempur,SP,0,Not Given,3037000,0,,,,
875,MAHAVEER BHAGORA,Salumber,BJP,1,Post Graduate,3026777,0,,,,
877,ALOK KUMAR MEHTA,Samastipur,RJD,0,Graduate Professional,6794434,0,,,,
879,PRASANNA ACHARYA,Sambalpur,BJD,0,Graduate Professional,10184422,874591,,,,
881,PRO. RAM GOPAL YADAV,Sambhal,SP,0,Doctorate,7953884,475000,,,,
883,Patil Prakashbapu Vasantdada,Sangli,INC,0,Graduate,35635000,0,,,,
885,SUKHDEV SINGH DHINDSA,Sangrur,SAD,0,Graduate,13984341,0,,,,
887,GUHARAM AJGALLE,Sarangarh,BJP,0,Graduate Professional,1768900,0,,,,
889,MEIRA KUMAR,Sasaram,INC,0,Post Graduate,28956730,3600000,,,,
891,LAXMANRAO PANDURANG JADHAV (PATIL),Satara,NCP,0,10th Pass,9925739,50403,,,,
893,GANESH SINGH,Satna,BJP,2,Post Graduate,2548143,236038,,,,
895,NAMO NARAIN,Sawai Madhopur,INC,0,Post Graduate,5234897,4.00E+05,,,,
897,M. ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,4250700,810500,,,,
899,NEETA PATERIYA,Seoni,BJP,0,Post Graduate,3239103,41965,,,,
901,Santasri Chatterjee,Serampore,CPM,0,Graduate,1698395,0,,,,
903,ILIYAS AZMI,Shahabad,BSP,0,Graduate,19683626,0,,,,
905,DALPAT SINGH PARASTE,Shahdol,BJP,0,Graduate,6811000,0,,,,
907,KUNWAR JITIN PRASAD,Shahjahanpur,INC,0,Post Graduate,17113691,652823,,,,
909,THAWAR CHAND GEHLOT,Shajapur,BJP,0,Graduate,2016554,0,,,,
911,SITARAM SINGH,Sheohar,RJD,0,Graduate,4624000,0,,,,
913,PATY RIPPLE KYNDIAH,Shillong,INC,0,Graduate,4078978,0,,,,
915,S. BANGARAPPA,Shimoga,BJP,2,Graduate,33302318,8298000,,,,
917,DESHMUKH SUBHASH SURESHCHANDRA,Sholapur,BJP,0,10th Pass,37495282,64522,,,,
919,SARVEY SATHYANARAYANA,Siddipet,INC,0,Graduate Professional,1110000,480000,,,,
921,CHANDRAPRATAP SINGH,Sidhi,BJP,0,12th Pass,795619,126764,,,,
923,SUBHASH MEHARIA,Sikar,BJP,0,Graduate,13267020,534287,,,,
925,NAKUL DAS RAI,Sikkim,SDF,0,Graduate,6890766,1494475,,,,
927,SONTOSH MOHAN DEV,Silchar,INC,0,Graduate,12356601,170759,,,,
929,DHANI RAM SHANDIL,Simla,INC,0,Doctorate,9272958,958,,,,
931,BAGUN SUMBRAI,Singhbhum,INC,0,10th Pass,4532035,2.00E+05,,,,
933,ATMA SINGH GILL,Sirsa,INC,0,5th Pass,1302714,280000,,,,
935,SITARAM YADAV,Sitamarhi,RJD,2,Graduate Professional,4805008,404410,,,,
937,RAJESH VERMA,Sitapur,BSP,0,Post Graduate,4850000,1004319,,,,
939,"CHIDAMBARAM, P.",Sivaganga,INC,0,Post Graduate,179861587,0,,,,
941,"RAVICHANDRAN, A",Sivakasi,MDMK,0,Graduate,3058910,0,,,,
943,MOHAMMAD SHAHABUDDIN,Siwan,RJD,19,Doctorate,3447000,428930,,,,
945,KISHAN SINGH SANGWAN,Sonepat,BJP,0,Post Graduate,7777238,847138,,,,
947,VIJAY KUMAR MALHOTRA,South Delhi,BJP,0,Doctorate,8988478,0,,,,
949,OMAR ABDULLAH,Srinagar,JKN,0,Graduate,19684236,54998,,,,
951,KRISHNASWAMY. A,Sriperumbudur,DMK,2,Graduate Professional,2214854,0,,,,
953,MOHD. TAHIR,Sultanpur,BSP,1,12th Pass,116697,0,,,,
955,JUAL ORAM,Sundargarh,BJP,3,10th Pass,5746675,8.00E+05,,,,
957,KASHIRAM RANA,Surat,BJP,0,Graduate Professional,7677857,0,,,,
959,NAND KUMAR SAI,Surguja,BJP,1,Post Graduate,3124000,610000,,,,
961,Seth Lakshman Chandra,Tamluk,CPM,0,Post Graduate,887175,0,,,,
963,RATTAN SINGH,Tarn Taran,SAD,1,Graduate Professional,29516341,0,,,,
965,MANABENDRA SHAH,Tehri Garhwal,BJP,0,12th Pass,347563683,0,,,,
967,BALASHOWRY VALLABHANENI,Tenali,INC,0,Graduate,103238914,350000,,,,
969,"APPADURAI, M.",Tenkasi,CPI,0,Graduate,1263017,0,,,,
971,MONI KUMAR SUBBA,Tezpur,INC,0,8th Pass,186443565,0,,,,
973,PARANJAPE PRAKASH VISHVANATH,Thane,SHS,0,Graduate,5905573,1382266,,,,
975,PALANIMANICKAM. S. S.,Thanjavur,DMK,0,Graduate Professional,3516998,535689,,,,
977,DHANARAJU. K,Tindivanam,PMK,0,Doctorate,2658860,0,,,,
979,SUBBULAKSHMI JAGADEESAN,Tiruchengode,DMK,0,Graduate Professional,8734674,0,,,,
981,GANESAN. L,Tiruchirappalli,MDMK,2,Graduate Professional,1900000,0,,,,
983,"DHANUSKODI ATHITHAN, R.",Tirunelveli,INC,1,Post Graduate,16322132,5573213,,,,
985,CHINTA MOHAN,Tirupathi,INC,0,Graduate Professional,3982900,1325256,,,,
987,"VENUGOPAL, D.",Tiruppattur,DMK,0,8th Pass,7685000,994803,,,,
989,KAILASH MEGHWAL,Tonk,BJP,0,Post Graduate,10950282,0,,,,
991,C. K. CHANDRAPPAN,Trichur,CPI,0,Graduate,8812606,0,,,,
993,BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,1188586,0,,,,
995,KHAGEN DAS,Tripura West,CPM,0,Post Graduate,1423083,0,,,,
997,S. MALLIKARJUNAIAH,Tumkur,BJP,0,Post Graduate,9090000,40000,,,,
999,PURANO AGITOK SANGMA,Tura,AITC,0,Post Graduate,35032125,0,,,,
1001,CH. LAL SINGH,Udhampur,INC,0,Graduate,5400000,5.00E+05,,,,
1003,MANORAMA MADHWARAJ,Udupi,BJP,0,Graduate,13751985,2700000,,,,
1005,DR. SATYANARAYAN JATIYA,Ujjain,BJP,0,Doctorate,2794387,0,,,,
1007,Hannan Mollah,Uluberia,CPM,0,Post Graduate,621879,0,,,,
1009,BRAJESH PATHAK,Unnao,BSP,4,Graduate Professional,2776872,5222,,,,
1011,RAGHUBANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,4871420,481535,,,,
1013,DR. RAJESH KUMAR MISHRA,Varanasi,INC,0,Not Given,1241800,4.00E+05,,,,
1015,"KADER MOHIDEEN, K. M",Vellore,DMK,0,Post Graduate,2800000,450000,,,,
1017,SHIVRAJ SINGH,Vidisha,BJP,2,Post Graduate,5814600,287640,,,,
1019,JANARDHANA REDDY NEDURUMALLI,Visakhapatnam,INC,0,Graduate Professional,10916531,11212,,,,
1021,Susmita Bauri,Vishnupur,CPM,0,Graduate Professional,33000,10000,,,,
1023,WAGMARE SURESH GANAPAT,Wardha,BJP,0,Graduate,441000,447393,,,,
1025,GAWALI (PATIL) KU. BHAVANA PUNDLIKRAO,Washim,SHS,1,Graduate,18808750,748904,,,,
1027,RATHOD HARISING NASARU,Yavatmal,BJP,0,Graduate,3801000,945123,,,,
