,Candidate,Constituency..,Party,Criminal.Case,Education,Total.Assets,Liabilities,,,,
57,KANTI SINGH,Arrah,RJD,0,Graduate,11602840,33797,,,,
59,TAPIR GAO,Arunachal East,BJP,0,Post Graduate,5516640,50000,,,,
61,KHIREN RIJIJU,Arunachal West,BJP,0,Graduate,6511344,0,,,,
63,Bikash Chowdhury,Asansol,CPM,0,Not Given,2912206,0,,,,
65,HARI HAR SWAIN,Aska,BJD,0,12th Pass,12192000,1586478,,,,
67,CHANDRAKANT KHAIRE,Aurangabad,SHS,13,Graduate,9333773,6043722,,,,
69,NIKHIL KUMAR,Aurangabad,INC,0,Post Graduate,74489984,1220000,,,,
71,BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,5389194,0,,,,
73,RAMAKANT YADAV,Azamgarh,BSP,9,10th Pass,17358777,2.00E+05,,,,
75,P. SATHEEDEVI,Badagara,CPM,1,Graduate Professional,1331000,0,,,,
77,KAILASH BAITHA,Bagaha,JD(U),0,10th Pass,49000,35000,,,,
79,GADDIGOUDAR PARVATAGOUDA CHANDANAGOUDA,Bagalkot,BJP,0,Graduate Professional,5375000,1.00E+06,,,,
81,AJIT SINGH,Baghpat,RLD,0,Post Graduate,13423683,1456567,,,,
83,RUBAB SAYEDA,Bahraich,SP,0,Post Graduate,15346459,0,,,,
85,GAURI SHANKAR CHATURBHUJ BISEN,Balaghat,BJP,0,Post Graduate,9667350,1491190,,,,
87,MAHAMEGHA BAHAN AIRA KHARBELA SWAIN,Balasore,BJP,0,Post Graduate,1010000,0,,,,
89,SURAJ SINGH,Balia,LJNSP,17,Literate,1516070,60024,,,,
91,CHANDRA SHEKHAR,Ballia,Samajwadi Janata Party (Rashtriya),0,Post Graduate,4035983,1145552,,,,
93,BRIJ BHUSHAN SHARAN SINGH,Balrampur,BJP,2,Graduate Professional,35810577,0,,,,
95,Ranen Barman,Balurghat,RSP,0,10th Pass,968333,0,,,,
97,CHAVDA HARISINHAJI PRATAPSINHAJI,Banaskantha,INC,1,10th Pass,17693895,0,,,,
99,SHYAMA CHARAN GUPT,Banda,SP,0,Graduate Professional,112456867,0,,,,
101,DR. H.T. SANGLIANA,Bangalore North,BJP,0,Graduate,7666050,0,,,,
103,GIRIDHARI YADAV,Banka,RJD,0,Post Graduate,2841000,351513,,,,
105,Acharia Basudeb,Bankura,CPM,0,Post Graduate,1708375,0,,,,
107,MAHAVEER PRASAD,Bansgaon,INC,0,Post Graduate,8944794,0,,,,
109,DHAN SINGH RAWAT,Banswara,BJP,2,Graduate Professional,1905788,250000,,,,
