"","Candidate","Constituency","Party","Criminal.Case","Education","Total.Assets","Liabilities"
"899","Ravindra Kushawaha","SALEMPUR","BJP",0,"12th Pass",7134477,0
"901","Ram Chandra Paswan","SAMASTIPUR","LJP",3,"10th Pass",13058612,0
"903","Nagendra Kumar Pradhan","SAMBALPUR","BJD",0,"Graduate Professional",12796623,1461565
"905","Satya Pal Singh","SAMBHAL","BJP",0,"Post Graduate",19904379,0
"907","Sanjaykaka Patil","SANGLI","BJP",0,"10th Pass",108791027,19198050
"909","Bhagwant Mann","SANGRUR","AAP",0,"12th Pass",43057512,16281200
"911","Sharad Tripathi","SANT KABIR NAGAR","BJP",0,"Post Graduate",3697671,71800
"913","Rajiv Pratap Rudy","SARAN","BJP",1,"Post Graduate",62545997,1008658
"915","Chhedi Paswan","SASARAM","BJP",0,"Post Graduate",35776803,275000
"917","Shrimant Chh. Udayanraje Pratapsinha Bhonsale","SATARA","NCP",23,"12th Pass",606089208,312941
"919","Ganesh Singh","SATNA","BJP",2,"Post Graduate",37800000,0
"921","Bandaru Dattatreya","SECUNDERABAD","BJP",3,"Graduate",98255148,405469
"923","Dalpat Singh Paraste","SHAHDOL","BJP",0,"Graduate Professional",5524870,0
"925","Krishna Raj","SHAHJAHANPUR","BJP",0,"Post Graduate",16506411,3612812
"927","Rama Devi","SHEOHAR","BJP",6,"Graduate Professional",308591850,0
"929","Vincent H. Pala","SHILLONG","INC",0,"Graduate Professional",497108058,0
"931","Virender Kashyap","SHIMLA","BJP",0,"Post Graduate",5228095,0
"933","B.S. Yeddyurappa","SHIMOGA","BJP",9,"12th Pass",69746267,5e+05
"935","Lokhande Sadashiv Kisan","SHIRDI","SHS",1,"10th Pass",38294539,1497168
"937","Adhalrao Shivaji Dattatrey","SHIRUR","SHS",10,"Others",253880475,61810866
"939","Daddan Mishra","SHRAWASTI","BJP",0,"Post Graduate",20065527,228304
"941","Riti Pathak","SIDHI","BJP",0,"Post Graduate",33416561,0
"943","Sumedha Nand Saraswati","SIKAR","BJP",0,"Others",34311,0
"945","Prem Das Rai","SIKKIM","SDF",0,"Post Graduate",32389223,0
"947","Sushmita Dev","SILCHAR","INC",1,"Post Graduate",87495844,12008613
"949","Laxman Giluwa","SINGHBHUM","BJP",4,"12th Pass",8094301,108145
"951","Charanjeet Singh","SIRSA","INLD",0,"10th Pass",8146887,3260000
"953","Ram Kumar Sharma","SITAMARHI","Rashtriya Lok Samta Party",0,"Post Graduate",9265000,82000
"955","Rajesh Kumar Singh","SITAPUR","BJP",0,"Post Graduate",41418622,1265000
"957","Pr Senthilnathan","SIVAGANGA","AIADMK",0,"Graduate Professional",49050835,7459581
"959","Om Prakash Yadav","SIWAN","BJP",1,"Graduate",2213023,1956467
"961","Sharad Bansode","SOLAPUR","BJP",1,"Graduate Professional",60152887,7604375
"963","Ramesh Kaushik","SONIPAT","BJP",0,"Graduate Professional",142840716,0
"965","Ramesh Bidhuri","SOUTH DELHI","BJP",4,"Graduate Professional",147493056,0
"967","Adv. Narendra Keshav Sawaikar","SOUTH GOA","BJP",0,"Graduate Professional",6260382,0
"969","Kalyan Banerjee","SREERAMPUR","AITC",1,"Graduate Professional",88512676,8582543
"971","Rammohannaidu Kinjarapu","SRIKAKULAM","TDP",0,"Post Graduate",84173423,0
"973","Tariq Hameed Karra","SRINAGAR","JKPDP",0,"Graduate Professional",984556436,1500000
"975","Ramachandran, K.N. Thiru","SRIPERUMBUDUR","AIADMK",0,"Post Graduate",936721057,80806268
"977","Feroze Varun Gandhi","SULTANPUR","BJP",0,"Post Graduate",357318699,18119000
"979","Jual Oram","SUNDARGARH","BJP",1,"Others",24202170,0
"981","Ranjeet Ranjan","SUPAUL","INC",5,"12th Pass",81242965,0
"983","Jardosh Darshnaben Vikrambhai","SURAT","BJP",0,"Graduate",18038444,2020458
"985","Fatepara Devajibhai Govindbhai","SURENDRANAGAR","BJP",1,"Literate",11685000,0
"987","Kamalbhan Singh","SURGUJA","BJP",0,"Post Graduate",24773173,2995985
"989","Suvendu Adhikari","TAMLUK","AITC",2,"Post Graduate",6480767,0
"991","Mala Rajya Laxmi Shah","TEHRI GARHWAL","BJP",0,"12th Pass",1662109875,14900000
"993","Vasanthi.M","TENKASI","AIADMK",0,"Post Graduate",24014922,0
"995","Ram Prasad Sarmah","TEZPUR","BJP",0,"Graduate Professional",6655300,0
"997","Vichare Rajan Baburao","THANE","SHS",13,"10th Pass",102091612,13054217
"999","Parasuraman.K","THANJAVUR","AIADMK",0,"12th Pass",146049347,27954352
"1001","Parthipan, R.","THENI","AIADMK",0,"Graduate",22047681,869650
"1003","Dr. Shashi Tharoor","THIRUVANANTHAPURAM","INC",0,"Doctorate",230275186,0
"1005","Jeyasingh Thiyagaraj Natterjee.J","THOOTHUKKUDI","AIADMK",0,"Post Graduate",9822294,0
"1007","C N Jayadevan","THRISSUR","CPI",3,"Post Graduate",20041642,294000
"1009","Dr. Virendra Kumar","TIKAMGARH","BJP",0,"Doctorate",8764635,0
"1011","P.Kumar S/O Palanivel","TIRUCHIRAPPALLI","AIADMK",0,"Graduate Professional",18522597,1917891
"1013","Prabakaran.K.R.P","TIRUNELVELI","AIADMK",0,"Graduate Professional",2764500,0
"1015","Varaprasad Rao Velagapalli","TIRUPATI","Yuvajana Sramika Rythu Congress Party",0,"Doctorate",129128388,3132962
"1017","V.Sathyabama","TIRUPPUR","AIADMK",2,"Post Graduate",28108573,2475755
"1019","Venugopal. P. Dr.","TIRUVALLUR","AIADMK",0,"Graduate Professional",28643502,1768538
"1021","Vanaroja R","TIRUVANNAMALAI","AIADMK",0,"Post Graduate",3700000,0
"1023","Sukhbir Singh Jaunapuria","TONK-SAWAI MADHOPUR","BJP",0,"12th Pass",714124612,0
"1025","Jitendra Choudhury","TRIPURA EAST","CPI(M)",0,"12th Pass",11322979,2030773
"1027","Sankar Prasad Datta","TRIPURA WEST","CPI(M)",1,"Post Graduate",1320900,0
"1029","S.P.Muddahanumegowda","TUMKUR","INC",0,"Graduate Professional",30273812,0
"1031","Purno Agitok Sangma","TURA","NPP",0,"Post Graduate",215134618,0
"1033","Arjunlal Meena","UDAIPUR","BJP",0,"Post Graduate",17049951,8195866
"1035","Dr. Jitendra Singh","UDHAMPUR","BJP",0,"Graduate Professional",38464932,11881
"1037","Shobha Karandlaje","UDUPI CHIKMAGALUR","BJP",0,"Post Graduate",72089452,38119792
"1039","Nityanand Rai","UJIARPUR","BJP",1,"Graduate",146743540,3965423
"1041","Chintamani Malviya","UJJAIN","BJP",0,"Doctorate",18888754,5483153
"1043","Sultan Ahmed","ULUBERIA","AITC",0,"Graduate",22792936,10878739
"1045","Swami Sachchidanand Hari Sakshi","UNNAO","BJP",8,"Doctorate",32137597,0
"1047","Anantkumar Hegde","UTTARA KANNADA","BJP",0,"12th Pass",32367360,15139611
"1049","Mullappally Ramachandran","VADAKARA","INC",0,"Post Graduate",9225000,2160000
"1051","Narendra Modi","VADODARA","BJP",0,"Post Graduate",15157582,0
"1053","Rama Kishore Singh","VAISHALI","LJP",4,"Graduate",21610218,3323006
"1055","Satish Dubey","VALMIKI NAGAR","BJP",3,"10th Pass",6061576,626789
"1057","Dr. K.C.Patel","VALSAD","BJP",0,"Graduate Professional",131141867,2381344
"1059","Narendra Modi","VARANASI","BJP",0,"Post Graduate",16591582,0
"1061","Senguttuvan, B.","VELLORE","AIADMK",0,"Post Graduate",9197355,440478
"1063","Sushma Swaraj","VIDISHA","BJP",0,"Graduate Professional",175516422,6500000
"1065","Srinivas Kesineni","VIJAYAWADA","TDP",3,"10th Pass",1284122669,715462989
"1067","S. Rajendran","VILUPPURAM","AIADMK",0,"Graduate",6200000,2371331
"1069","Radhakrishnan","VIRUDHUNAGAR","AIADMK",0,"10th Pass",43736485,5273447
"1071","Dr. Kambhampati Hari Babu","VISAKHAPATNAM","BJP",0,"Doctorate",90103580,1854856
"1073","Ashok Gajapathi Raju Pusapati","VIZIANAGARAM","TDP",0,"10th Pass",39054905,0
"1075","Kadiyam Srihari","WARANGAL","TRS",6,"Post Graduate",13495000,0
"1077","Ramdas Chandrabhanji Tadas","WARDHA","BJP",5,"10th Pass",33628998,1749314
"1079","M I Shanavas","WAYANAD","INC",0,"Post Graduate",27122055,7711000
"1081","Parvesh Sahib Singh","WEST DELHI","BJP",1,"Post Graduate",107235461,26650000
"1083","Gawali Bhavana Pundlikrao","YAVATMAL-WASHIM","SHS",4,"Graduate",60886040,7368967
"1085","B.B.Patil","ZAHIRABAD","TRS",0,"Graduate",1023173039,83517670
