"","Candidate","Constituency","Party","Criminal.Case","Education","Total.Assets","Liabilities"
"247","Dr. J. Jayavardhan","CHENNAI SOUTH","AIADMK",0,"Graduate Professional",33959072,10981100
"249","Konda Vishweshwar Reddy","CHEVELLA","TRS",0,"Post Graduate",5286230210,74111133
"251","Kamal Nath","CHHINDWARA","INC",0,"Graduate",2069080434,51172087
"253","Rathwa Ramsingbhai Patalbhai","CHHOTA UDAIPUR","BJP",0,"Post Graduate",39769675,9763903
"255","M.Chandrakasi","CHIDAMBARAM","AIADMK",0,"Graduate",7243646,2020472
"257","M Veerappa Moily","CHIKKBALLAPUR","INC",0,"Graduate Professional",137366682,39433827
"259","Prakash Hukkeri","CHIKKODI","INC",0,"12th Pass",75717628,3635650
"261","B.N.Chandrappa","CHITRADURGA","INC",0,"Post Graduate",48303759,13800000
"263","Naramalli Sivaprasad","CHITTOOR","TDP",0,"Graduate Professional",14878003,0
"265","Chandra Prakash","CHITTORGARH","BJP",0,"Graduate",14134693,687284
"267","Rahul Kaswan","CHURU","BJP",0,"Graduate",25721266,5386104
"269","Nagarajan, P.","COIMBATORE","AIADMK",0,"Graduate Professional",34306545,2235538
"271","Renuka Sinha","COOCHBEHAR","AITC",0,"Graduate Professional",13017282,0
"273","A.Arunmozhithevan","CUDDALORE","AIADMK",9,"Graduate Professional",15765250,0
"275","Bhartruhari Mahatab","CUTTACK","BJD",0,"Post Graduate",88834098,0
"277","Natubhai G. Patel","DADRA & NAGAR HAVELI","BJP",5,"5th Pass",154760217,62286836
"279","Bhabhor Jasvantsinh Sumanbhai","DAHOD","BJP",0,"Graduate Professional",19661231,1741547
"281","Nalin Kumar Katil","DAKSHINA KANNADA","BJP",1,"10th Pass",8789001,1493367
"283","Patel Lalubhai Babubhai","DAMAN & DIU","BJP",0,"8th Pass",144931238,1234039
"285","Prahalad Singh Patel","DAMOH","BJP",0,"Graduate Professional",39586235,12429302
"287","Kirti Azad","DARBHANGA","BJP",4,"Graduate",28531267,431860
"289","Surendrajeet Singh Ahluwalia","DARJEELING","BJP",0,"Graduate Professional",23377223,443035
"291","Harish Chandra","DAUSA","BJP",0,"Graduate",60394789,45000
"293","G.M. Siddeshwara","DAVANAGERE","BJP",0,"10th Pass",232375703,17951455
"295","Kalraj Mishra","DEORIA","BJP",0,"Post Graduate",55048193,0
"297","Manohar Untwal","DEWAS","BJP",0,"12th Pass",6336490,1448086
"299","Pashupati Nath Singh","DHANBAD","BJP",1,"Graduate",24248150,0
"301","Savitri Thakur","DHAR","BJP",0,"10th Pass",9606464,1582845
"303","Anbumani Ramadoss","DHARMAPURI","PMK",8,"Graduate Professional",314378451,41941065
"305","Pralhad Joshi","DHARWAD","BJP",1,"Graduate",41979658,6739989
"307","Rekha","DHAURAHRA","BJP",0,"12th Pass",10435468,2375000
"309","Tathagata Satpathy","DHENKANAL","BJD",7,"Others",35434099,0
"311","Badruddin Ajmal","DHUBRI","AIUDF",1,"Post Graduate",432748134,0
"313","Bhamare Subhash Ramrao","DHULE","BJP",0,"Post Graduate",125833320,660757
"315","Abhishek Banerjee","DIAMOND HARBOUR","AITC",0,"Post Graduate",15199272,0
"317","Rameshwar Teli","DIBRUGARH","BJP",0,"10th Pass",977943,0
"319","Udhaya Kumar .M","DINDIGUL","AIADMK",0,"Post Graduate",27810000,2800000
"321","Chavan Harishchandra Deoram","DINDORI","BJP",1,"Graduate",37240147,881137
"323","Jagdambika Pal","DOMARIYAGANJ","BJP",0,"Post Graduate",17822082,4981555
"325","Saugata Roy","DUM DUM","AITC",0,"Post Graduate",19452010,2500000
"327","Shibu Soren","DUMKA","JMM",0,"10th Pass",46760684,1479721
"329","Tamradwaj Sahu","DURG","INC",0,"12th Pass",21002226,1777720
"331","Mahesh Giri","EAST DELHI","BJP",1,"10th Pass",5216375,4e+05
"333","Venkateswara Rao Maganti","ELURU","TDP",2,"10th Pass",129394729,55294433
"335","K.V. Thomas","ERNAKULAM","INC",0,"Post Graduate",11848550,522352
"337","Selvakumara Chinnayan S","ERODE","AIADMK",0,"Post Graduate",47459708,0
"339","Rajvir Singh","ETAH","BJP",0,"Graduate Professional",251921157,46898091
"341","Ashok Kumar Doharey","ETAWAH","BJP",0,"Graduate",12252688,0
"343","Lallu Singh","FAIZABAD","BJP",1,"Post Graduate",15127861,3640964
"345","Krishan Pal","FARIDABAD","BJP",0,"Graduate Professional",296440144,19707475
"347","Prof. Sadhu Singh","FARIDKOT","AAP",0,"Post Graduate",5879516,70000
"349","Mukesh Rajput","FARRUKHABAD","BJP",0,"Graduate",26178100,151603
"351","Harinder Singh Khalsa","FATEHGARH SAHIB","AAP",0,"Post Graduate",35588128,6700000
"353","Sadhavi Niranjan Jyoti","FATEHPUR","BJP",1,"12th Pass",3763779,176616
"355","Babulal","FATEHPUR SIKRI","BJP",3,"12th Pass",73028848,16390000
"357","Akshay Yadav","FIROZABAD","SP",0,"Graduate",100883304,59377
"359","Sher Singh Ghubaya","FIROZPUR","SAD",0,"10th Pass",96121057,5133876
"361","Ashok Mahadeorao Nete","GADCHIROLI-CHIMUR","BJP",0,"12th Pass",12125676,5830550
"363","Lal Krishna Advani","GANDHINAGAR","BJP",1,"Graduate Professional",75915276,0
"365","Nihalchand","GANGANAGAR","BJP",0,"Graduate",10861172,1611557
"367","(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm)","GARHWAL","BJP",0,"Graduate Professional",44357368,0
"369","Smt. Bijoya Chakraborty","GAUHATI","BJP",0,"Post Graduate",12574493,0
"371","Mahesh Sharma","GAUTAM BUDHHA NAGAR","BJP",0,"Graduate Professional",473797545,40905738
"373","Hari Manjhi","GAYA","BJP",1,"8th Pass",10184120,2e+06
"375","Deepak Adhikari (Dev)","GHATAL","AITC",0,"10th Pass",152447159,17493227
"377","Vijay Kumar Singh","GHAZIABAD","BJP",2,"Doctorate",41137044,2026774
"379","Manoj Sinha","GHAZIPUR","BJP",0,"Graduate Professional",23376901,118700
"381","Harinarayan Rajbhar","GHOSI","BJP",0,"Literate",23403964,0
"383","Ravindra Kumar Pandey","GIRIDIH","BJP",0,"Graduate",73376970,1970628
"385","Nishikant Dubey","GODDA","BJP",5,"Post Graduate",155633719,0
"387","Kirti Vardhan Singh","GONDA","BJP",0,"Post Graduate",74738429,9275782
"389","Janak Ram","GOPALGANJ","BJP",2,"Post Graduate",10582664,1039000
"391","Adityanath","GORAKHPUR","BJP",3,"Graduate",7217674,0
"393","Mallikarjun Kharge","GULBARGA","INC",0,"Graduate Professional",102220880,7410154
"395","Jyotiraditya M. Scindia","GUNA","INC",0,"Post Graduate",330888751,795000
"397","Jayadev Galla","GUNTUR","TDP",0,"Graduate",6830581361,202334283
"399","Vinod Khanna","GURDASPUR","BJP",0,"Graduate",669343376,12695306
"401","Inderjit Singh","GURGAON","BJP",0,"Graduate Professional",250698763,0
"403","Narendra Singh Tomar","GWALIOR","BJP",1,"Graduate",11412622,4531444
"405","Ram Vilas Paswan","HAJIPUR","LJP",2,"Post Graduate",9642023,0
"407","Anurag Singh Thakur","HAMIRPUR","BJP",10,"Graduate",46535803,2074555
"409","Kunwar Pushpendra Singh","HAMIRPUR","BJP",1,"Post Graduate",71265181,2825539
"411","Anshul Verma","HARDOI","BJP",0,"Post Graduate",30385000,0
"413","Ramesh Pokhariyal Nishank","HARDWAR","BJP",1,"Doctorate",17917274,1860684
"415","H.D. Devegowda","HASSAN","JD(S)",0,"Others",42721242,8648283
"417","Rajesh Kumar","HATHRAS","BJP",0,"Graduate Professional",5651457,0
"419","Raju Shetty","HATKANANGLE","Swabhimani Paksha",12,"10th Pass",9896221,1504152
"421","Udasi Shivakumar Channabasappa","HAVERI","BJP",0,"Graduate",576693538,54423645
"423","Jayant Sinha","HAZARIBAGH","BJP",0,"Post Graduate",556754579,86380600
"425","Kristappa Nimmala","HINDUPUR","TDP",2,"Graduate",35793637,998480
"427","Rajeev Shankarrao Satav","HINGOLI","INC",0,"Graduate Professional",49681499,584357
"429","Dushyant Chautala","HISAR","INLD",0,"Graduate",361326990,68744460
"431","Ratna De","HOOGHLY","AITC",0,"Graduate Professional",18617757,0
"433","Uday Pratap Singh","HOSHANGABAD","BJP",1,"Graduate",133375092,3775714
"435","Vijay Sampla","HOSHIARPUR","BJP",0,"10th Pass",15164322,4020543
"437","Prasun Banerjee","HOWRAH","AITC",0,"Graduate",10041098,0
"439","Asaduddin Owaisi","HYDERABAD","All India Majlis-E-Ittehadul Muslimeen",4,"Graduate Professional",40611099,1.4e+07
"441","Adv.Joice George","IDUKKI","IND",4,"Post Graduate",17396207,9417720
"443","Sumitra Mahajan","INDORE","BJP",0,"Post Graduate",18732234,3539000
"445","Dr. Thokchom Meinya","INNER MANIPUR","INC",0,"Doctorate",3825200,0
"447","Rakesh Singh Urf Ghanshyam Singh","JABALPUR","BJP",1,"Graduate",26564889,0
"449","Sugata Bose","JADAVPUR","AITC",0,"Doctorate",46315770,0
"451","Kulamani Samal","JAGATSINGHPUR","BJD",0,"Graduate Professional",25158570,0
"453","Dr. Arun Kumar","JAHANABAD","Rashtriya Lok Samta Party",1,"Doctorate",38846631,1e+06
"455","Ramcharan Bohara","JAIPUR","BJP",0,"12th Pass",135809546,23871000
"457","Rajyavardhan Singh Rathore","JAIPUR RURAL","BJP",0,"Graduate",83734044,117065
"459","Rita Tarai","JAJPUR","BJD",0,"12th Pass",1622003,0
"461","Santokh Singh Chaudhary","JALANDHAR","INC",0,"Graduate Professional",104040531,6194323
"463","Bhanu Pratap Singh","JALAUN","BJP",0,"Post Graduate",5774068,650000
"465","Patil Ashok Tapiram","JALGAON","BJP",0,"Graduate",226180395,0
"467","Danve Raosaheb Dadarao","JALNA","BJP",4,"Graduate",184411862,8534130
"469","Devji Patel","JALORE","BJP",0,"10th Pass",51846777,12780726
"471","Bijoy Chandra Barman","JALPAIGURI","AITC",0,"Post Graduate",9396430,797019
"473","Jugal Kishore","JAMMU","BJP",0,"10th Pass",26824308,3e+05
"475","Maadam Poonamben Hematbhai","JAMNAGAR","BJP",0,"Graduate",174372249,62824615
"477","Bidyut Baran Mahato","JAMSHEDPUR","BJP",8,"12th Pass",16027526,715347
"479","Chirag Kumar Paswan","JAMUI","LJP",0,"12th Pass",10414470,4458954
"481","Abhijit Mukherjee","JANGIPUR","INC",0,"Graduate Professional",63014502,15160000
"483","Smt. Kamla Patle","JANJGIR-CHAMPA","BJP",0,"12th Pass",18224350,0
"485","Krishna Pratap","JAUNPUR","BJP",0,"Doctorate",40656909,4673939
"487","Pratima Mondal","JAYNAGAR","AITC",0,"Post Graduate",10614252,0
"489","Dushyant","JHALAWAR-BARAN","BJP",0,"Post Graduate",239006838,2798782
"491","Birendra Kumar Chaudhary","JHANJHARPUR","BJP",0,"Post Graduate",5158792,0
"493","Uma Bharti","JHANSI","BJP",13,"5th Pass",14376218,0
"495","Uma Saren","JHARGRAM","AITC",0,"Graduate Professional",499646,0
"497","Santosh Ahlawat","JHUNJHUNU","BJP",0,"Post Graduate",35897048,5704000
"499","Gajendrasingh Shekhawat","JODHPUR","BJP",0,"Post Graduate",143491494,92198588
"501","Kamakhya Prasad Tasa","JORHAT","BJP",0,"Post Graduate",1694785,0
"503","Chudasama Rajeshbhai Naranbhai","JUNAGADH","BJP",1,"12th Pass",7446059,1110690
"505","Chavda Vinod Lakhmashi","KACHCHH","BJP",0,"Graduate Professional",5618643,411255
"507","Avinash Reddy Yeduguri Sandinti","KADAPA","Yuvajana Sramika Rythu Congress Party",1,"Post Graduate",70480623,5547296
"509","Hukum Singh","KAIRANA","BJP",2,"Graduate Professional",29078847,2941671
"511","Brij Bhusan Sharan Singh","KAISERGANJ","BJP",2,"Graduate Professional",61696767,11556027
"513","Thota Venkata Narasimham","KAKINADA","TDP",0,"Graduate",17495976,120000
"515","Arka Keshari Deo","KALAHANDI","BJD",0,"Graduate",69822063,831688
"517","Gourav Gogoi","KALIABOR","INC",0,"Post Graduate",5473199,1042133
"519","K. Kamaraj","KALLAKURICHI","AIADMK",0,"Post Graduate",35459256,544099
"521","Dr.Shrikant Eknath Shinde","KALYAN","SHS",0,"Graduate Professional",998000,0
"523","Maragatham K","KANCHEEPURAM","AIADMK",0,"12th Pass",18949050,4468600
"525","Hemendra Chandra Singh","KANDHAMAL","BJD",2,"Graduate",503907437,4786551
"527","Shanta Kumar","KANGRA","BJP",0,"Graduate Professional",19852104,0
"529","Vikram Usendi","KANKER","BJP",0,"10th Pass",23376000,869000
"531","Dimple Yadav","KANNAUJ","SP",0,"Graduate",280516418,6917710
"533","Radhakrishnan P.","KANNIYAKUMARI","BJP",0,"Graduate Professional",40963269,0
"535","P K Sreemathi","KANNUR","CPI(M)",8,"Others",16939970,0
"537","Dr.Murli Manohar Joshi","KANPUR","BJP",1,"Doctorate",78410008,0
"539","Sisir Kumar Adhikari","KANTHI","AITC",1,"12th Pass",19498381,0
"541","Upendra Kushwaha","KARAKAT","Rashtriya Lok Samta Party",4,"Post Graduate",24829741,823834
"543","Manoj Rajoria","KARAULI-DHOLPUR","BJP",0,"Post Graduate",28636113,3277324
"545","Radheshyam Biswas","KARIMGANJ","AIUDF",0,"12th Pass",7068281,0
"547","Vinod Kumar Boinapally","KARIMNAGAR","TRS",0,"Graduate Professional",97275990,0
"549","Ashwini Kumar","KARNAL","BJP",6,"Graduate",698638135,153937858
"551","Thambidurai.M","KARUR","AIADMK",2,"Doctorate",132457262,51481886
"553","P Karunakaran","KASARAGOD","CPI(M)",6,"Post Graduate",5900345,0
"555","Shah Tariq Anwar","KATIHAR","NCP",1,"Graduate",104600951,20454853
"557","Vinod Kumar","KAUSHAMBI","BJP",0,"Graduate",27091681,10932227
"559","Sri Baijayant Panda","KENDRAPARA","BJD",0,"Graduate Professional",312432726,3e+05
"561","Sakuntala Laguri","KEONJHAR","BJD",0,"10th Pass",101531625,0
"563","Ranjit Singh Brahmpura","KHADOOR SAHIB","SAD",0,"8th Pass",177814755,4200000
"565","Choudhary Mahboob Ali Kaiser","KHAGARIA","LJP",1,"Graduate",66569502,0
"567","Nagendra Singh","KHAJURAHO","BJP",0,"Graduate",44538002,0
"569","Ponguleti Srinivasa Reddy","KHAMMAM","Yuvajana Sramika Rythu Congress Party",0,"12th Pass",346150516,1240000
"571","Nandkumar Singh Chouhan","KHANDWA","BJP",0,"Post Graduate",40188989,9561188
"573","Subhash Patel","KHARGONE","BJP",0,"Post Graduate",36138699,2300000
"575","Chauhan Devusinh Jesingbhai","KHEDA","BJP",0,"12th Pass",9426376,1047919
"577","Ajay Kumar","KHERI","BJP",2,"Graduate Professional",26505977,1e+07
"579","Karia Munda","KHUNTI","BJP",0,"Post Graduate",7474796,0
"581","Mohammad Asrarul Haque","KISHANGANJ","INC",2,"Post Graduate",4616629,0
"583","Ravindra Kumar Ray","KODARMA","BJP",0,"Doctorate",10564046,2e+05
"585","Naba Kumar Sarania","KOKRAJHAR","IND",3,"12th Pass",2155559,0
"587","K H Muniyappa","KOLAR","INC",0,"Graduate Professional",184663000,27863000
"589","Dhananjay Bhimrao Mahadik","KOLHAPUR","NCP",1,"Graduate",448882000,71333000
"591","Subrata Bakshi","KOLKATA DAKSHIN","AITC",0,"Graduate Professional",10265428,168891
"593","Sudip Bandyopadhyay","KOLKATA UTTAR","AITC",1,"Graduate",22086278,450000
"595","N.K.Premachandran","KOLLAM","RSP",1,"Graduate Professional",16228989,3114638
"597","Sanganna A. Karadi","KOPPAL","BJP",1,"10th Pass",12127000,6848000
"599","Jhina Hikaka","KORAPUT","BJD",0,"Post Graduate",8800000,0
"601","Dr. Banshilal Mahato","KORBA","BJP",0,"Graduate Professional",72303762,382905
"603","Om Birla","KOTA","BJP",2,"Post Graduate",25870497,997366
"605","Jose K Mani","KOTTAYAM","KC(M)",0,"Post Graduate",26236371,0
"607","M .K Raghavan","KOZHIKODE","INC",0,"Graduate",6164901,1558128
"609","Ashok Kumar.K","KRISHNAGIRI","AIADMK",3,"10th Pass",1176436,0
"611","Tapas Paul","KRISHNANAGAR","AITC",4,"Graduate",27829669,0
"613","Butta Renuka","KURNOOL","Yuvajana Sramika Rythu Congress Party",1,"10th Pass",2426240513,312279927
"615","Rajkumar Saini","KURUKSHETRA","BJP",0,"Graduate",132880476,23262108
"617","Rajesh Pandey Urf Guddu","KUSHI NAGAR","BJP",0,"Graduate",110407014,1107357
"619","Thupstan Chhewang","LADAKH","BJP",0,"Graduate Professional",19852701,80000
"621","Sarbananda Sonowal","LAKHIMPUR","BJP",0,"Graduate Professional",14497515,0
"623","Mohammed Faizal.P.P","LAKSHADWEEP","NCP",3,"Post Graduate",538119,0
"625","Neelam","LALGANJ","BJP",1,"Post Graduate",33863562,2631312
"627","Gaikwad Sunil Baliram","LATUR","BJP",0,"Doctorate",17463251,0
"629","Sudarshan Bhagat","LOHARDAGA","BJP",0,"Graduate",9031009,178967
"631","Raj Nath Singh","LUCKNOW","BJP",0,"Post Graduate",29240729,0
"633","Ravneet Singh Bittu","LUDHIANA","INC",0,"12th Pass",31509170,192000
"635","Ram Charitra Nishad","MACHHLISHAHR","BJP",0,"12th Pass",8641278,0
"637","Konakalla Narayana Rao","MACHILIPATNAM","TDP",0,"12th Pass",34850000,9800000
"639","Mohite Patil Vijaysinh Shankarrao","MADHA","NCP",1,"10th Pass",170253390,9774791
"641","Rajesh Ranjan Urf Pappu Yadav","MADHEPURA","RJD",24,"Graduate",81242966,956306
"643","Hukum Deo Narayan Yadav","MADHUBANI","BJP",0,"Graduate",77978890,0
"645","R.Gopalakrishnan","MADURAI","AIADMK",0,"Graduate",72503060,7406366
"647","Prof. Azmeera Seetaram Naik","MAHABUBABAD","TRS",0,"Doctorate",8008000,4100000
"649","Pankaj","MAHARAJGANJ","BJP",0,"12th Pass",191819151,2151048
"651","Janardan Singh Sigriwal","MAHARAJGANJ","BJP",4,"Graduate",4795223,14000
"653","Chandu Lal Sahu (Chandu Bhaiya) S/O Late Puneen Ram","MAHASAMUND","BJP",0,"Graduate Professional",20879652,2700000
"655","A P Jithender Reddy","MAHBUBNAGAR","TRS",4,"Graduate",140831576,1386969
"657","Patel Jayshreeben Kanubhai","MAHESANA","BJP",0,"10th Pass",13278493,1814057
"659","Mulayam Singh Yadav","MAINPURI","SP",0,"Post Graduate",159671544,0
"661","E. Ahamed","MALAPPURAM","IUML",0,"Graduate Professional",11818952,0
"663","Abu Hasem Kahn Chowdhury","MALDAHA DAKSHIN","INC",0,"Doctorate",11560825,654320
"665","Mausam Noor","MALDAHA UTTAR","INC",0,"Graduate Professional",9778222,28534
"667","Ch.Malla Reddy","MALKAJGIRI","TDP",0,"12th Pass",488525332,6328146
"669","Ram Swaroop Sharma","MANDI","BJP",0,"10th Pass",10178871,571823
"671","Faggan Singh Kulaste","MANDLA","BJP",2,"Post Graduate",25738420,98311
"673","Sudhir Gupta","MANDSOUR","BJP",0,"Post Graduate",57429237,3058993
"675","C.S.Puttaraju","MANDYA","JD(S)",0,"12th Pass",45209196,11231000
"677","Ramen Deka","MANGALDOI","BJP",0,"Graduate",14782357,5400953
"679","Deol Hema Malini Dharmendra","MATHURA","BJP",0,"Doctorate",1782015620,231234174
"681","Choudhury Mohan Jatua","MATHURAPUR","AITC",0,"Post Graduate",4857752,0
"683","Barne Shrirang Chandu","MAVAL","SHS",2,"8th Pass",665047926,11799786
"685","Kodikunnil Suresh","MAVELIKKARA","INC",1,"Graduate Professional",13251330,3439654
"687","Bharathi Mohan R.K","MAYILADUTHURAI","AIADMK",1,"12th Pass",7378589,969756
"689","Rama Chandra Hansdah","MAYURBHANJ","BJD",0,"Graduate",3630888,0
"691","Kalvakuntla Chandrashekar Rao","MEDAK","TRS",2,"Graduate",151582464,78753620
"693","Sandhya Roy","MEDINIPUR","AITC",0,"Literate",31031095,0
"695","Rajendra Agarwal","MEERUT","BJP",2,"Post Graduate",8803517,3074600
"697","Anupriya Singh Patel","MIRZAPUR","Apna Dal",2,"Post Graduate",26858156,1805603
"699","Anju Bala","MISRIKH","BJP",0,"Post Graduate",37618214,1200000
"701","C. L. Ruala","MIZORAM","INC",0,"Graduate",25733421,0
"703","Kaushal Kishore","MOHANLALGANJ","BJP",2,"12th Pass",21128221,0
"705","Kunwar Sarvesh Kumar","MORADABAD","BJP",4,"10th Pass",72866898,6e+05
"707","Anoop Mishra","MORENA","BJP",0,"12th Pass",110523112,6878160
"709","Gopal Chinayya Shetty","MUMBAI NORTH","BJP",10,"5th Pass",95617889,0
"711","Poonam Mahajan Alias Poonam Vajendla Rao","MUMBAI NORTH CENTRAL","BJP",0,"Others",1080867626,414479088
"713","Kirit Somaiya","MUMBAI NORTH EAST","BJP",10,"Doctorate",72156258,6593325
"715","Gajanan Chandrakant Kirtikar","MUMBAI NORTH WEST","SHS",0,"Graduate",58352000,2257000
"717","Sawant Arvind Ganpat","MUMBAI SOUTH","SHS",1,"Graduate",13067446,0
"719","Shewale Rahul Ramesh","MUMBAI SOUTH CENTRAL","SHS",1,"Others",13304397,10502345
"721","Veena Devi","MUNGER","LJP",0,"8th Pass",31162836,0
"723","Badaruddoza Khan","MURSHIDABAD","CPI(M)",0,"Graduate Professional",2758610,0
"725","Dr. Sanjeev Kumar Balyan","MUZAFFARNAGAR","BJP",1,"Doctorate",10794222,3090803
"727","Ajay Nishad","MUZAFFARPUR","BJP",0,"Graduate",145712654,989888
"729","Prathap Simha","MYSORE","BJP",0,"Post Graduate",6321591,4399048
"731","Balabhadra Majhi","NABARANGPUR","BJD",0,"Graduate",52977088,705404
"733","Neiphiu Rio","NAGALAND","NPF",0,"Graduate",315834264,0
"735","Gopal. Dr. K","NAGAPATTINAM","AIADMK",0,"Graduate Professional",19074709,13629120
"737","Nandi Yellaiah","NAGARKURNOOL","INC",0,"12th Pass",7048969,0
"739","C R Choudhary","NAGAUR","BJP",0,"Post Graduate",17921949,0
"741","Yashwant Singh","NAGINA","BJP",0,"Post Graduate",34806740,0
"743","Gadkari Nitin Jairam","NAGPUR","BJP",4,"Graduate Professional",153704475,19004037
"745","Bhagat Singh Koshyari","NAINITAL-UDHAMSINGH NAGAR","BJP",0,"Post Graduate",5562704,0
"747","Kaushlendra Kumar","NALANDA","JD(U)",0,"12th Pass",11812717,477000
"749","Gutha Sukhender Reddy","NALGONDA","INC",1,"12th Pass",85907866,10103677
"751","Sundaram P.R","NAMAKKAL","AIADMK",0,"Graduate",126539914,92677412
"753","Shri Chavan Ashokrao Shankarrao","NANDED","INC",0,"Post Graduate",388758910,30513286
"755","Dr.Gavit Heena Vaijaykumar","NANDURBAR","BJP",0,"Graduate Professional",131103963,7571753
"757","S.P.Y Reddy","NANDYAL","Yuvajana Sramika Rythu Congress Party",2,"Graduate Professional",219578079,1077820
